Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count,zeroShot_gpt_LLM_Clarity_Rating,zeroShot_gpt_LLM_Completeness_Rating,zeroShot_gpt_LLM_Consistency_Rating,zeroShot_gpt_PSNR,zeroShot_gpt_RMSE,zeroShot_gpt_SAM,zeroShot_gpt_SRE,zeroShot_gpt_SSIM,zeroShot_gpt_UIQ
icons_and_arrows,publish-subscribe,entire+,dynamic,jinnerbichler_flash-home,n,"sub-systems, servers",connectivity,uni,communication,n,y,n,high,n,n,iot,interaction_capability,jinnerbichler/flash-home,icons,NA,https://github.com/jinnerbichler/flash-home/,963,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,24.5364,0.0593,5.0781,22.2408,0.0133,-0.0004
UML,MVC,entire,static,OpenPSD_modelbank,n,"packages, classes, data",general,uni,inheritance,n,y,n,medium,n,y,,maintainability,OpenPSD/modelbank,rectangles,NA,https://github.com/OpenPSD/modelbank/,1126,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.9753,0.0142,87.5441,58.7103,0.6000,0.0005
boxes_and_arrows,NA,entire+,static,minism_hotel,y,"servers, containers",deployment,uni,communication,text,y,n,high,n,n,,"flexibility, performance_efficiency",minism/hotel,rectangles,unity,https://github.com/minism/hotel/,961,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9427,0.0566,12.9219,35.4733,0.0882,0.0020
boxes_and_arrows,MVC,entire,dynamic,IBM_kubernetes-storage,y,"APIs, containers","deployment, scheduling",bi,"API_calls, data_flow",n,y,n,high,y,n,,"functional_suitability, performance_efficiency",IBM/kubernetes-storage,rectangles,kubernetes,https://github.com/IBM/kubernetes-storage/,739,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4867,0.0119,89.8091,62.1374,0.7409,0.0024
boxes_and_arrows,event-driven,entire+,"static, dynamic",tamu-datathon-org_galaxy,n,"sub-systems, DBs",general,uni,communication,n,y,n,high,n,n,,maintainability,tamu-datathon-org/galaxy,"rectangles, circles","postgresql, mongodb",https://github.com/tamu-datathon-org/galaxy/,688,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.3170,0.0136,87.7670,65.7344,0.8063,0.0025
"icons_and_arrows, boxes","event-driven, client-server",entire,dynamic,odh-labs_predictive-maint,y,"containers, sub-systems, technologies",deployment,uni,control_flow,n,y,n,high,n,y,,functional_suitability,odh-labs/predictive-maint,"rectangles, icons","superset, tableau, red_hat, prometheus, aws",https://github.com/odh-labs/predictive-maint/,1296,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.9907,0.0159,88.8889,63.4883,0.7541,0.0004
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,DehengYang_APRConfig,n,packages,control_flow,uni,control_flow,n,y,n,low,n,y,,functional_suitability,DehengYang/APRConfig,"rectangles, icons",NA,https://github.com/DehengYang/APRConfig/,1336,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.7818,0.0182,85.2309,60.7022,0.6741,0.0001
icons_and_arrows,layered,entire+,static,brightzheng100_instana-handson-labs,y,"servers, containers, technologies",deployment,uni,communication,snapshots,y,n,high,n,y,,flexibility,brightzheng100/instana-handson-labs,"rectangles, icons","docker, apache, cassandra, butles, nginx, cockroachdb, kubernetes, spring",https://github.com/brightzheng100/instana-handson-labs/,892,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0451,0.0158,88.6817,60.3400,0.6110,-0.0022
boxes,layered,entire,static,inIT-HF_gr-corrsounder,n,"packages, layers",general,bi,NA,n,n,n,high,n,y,,maintainability,inIT-HF/gr-corrsounder,"rectangles, squares",NA,https://github.com/inIT-HF/gr-corrsounder/,1382,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.5791,0.0235,83.7158,53.1668,0.2914,-0.0029
icons_and_arrows,MVC,entire+,"static, dynamic",medlab_320-online-prototype,y,sub-systems,general,bi,communication,code_snippet,y,n,medium,n,y,,flexibility,medlab/320-online-prototype,rectangles,NA,https://github.com/medlab/320-online-prototype/,997,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9441,0.0127,89.0133,56.1311,0.5847,0.0194
boxes_and_arrows,NA,part,static,annashres_CustomerBot,n,"DBs, sub-systems",data_flow,no,data_flow,n,y,n,high,n,n,manual sketch,maintainability,annashres/CustomerBot,rectangles,microsoft,https://github.com/annashres/CustomerBot/,967,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,32.7845,0.0229,89.8025,58.6956,0.5763,-0.0000
boxes_and_arrows,client-server,entire+,dynamic,TestHaters_ctflow,y,"sub-systems, technologies",general,uni,control_flow,snapshots,y,n,high,n,n,,functional_suitability,TestHaters/ctflow,icons,cypress.io,https://github.com/TestHaters/ctflow/,1121,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6237,0.0148,89.4395,61.9720,0.7223,0.0002
UML,"MVC, clean",entire,static,ballerina-platform_asyncapi-tools,y,"classes, interfaces, functions, layers",general,uni,inheritance,n,y,n,low,n,y,good example of low level UML architecture,maintainability,ballerina-platform/asyncapi-tools,rectangles,NA,https://github.com/ballerina-platform/asyncapi-tools/,1362,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5399,0.0118,89.7795,61.9629,0.6996,-0.0025
boxes_and_arrows,NA,entire,static,Fenkey_irma,n,sub-systems,general,bi,communication,n,y,n,high,n,n,,maintainability,Fenkey/irma,rectangles,NA,https://github.com/Fenkey/irma/,1468,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0542,0.0158,87.0818,56.5836,0.6016,-0.0027
boxes,clean,entire,static,alexandredev3_nodejs-clean-architeture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alexandredev3/nodejs-clean-architeture,circles,NA,https://github.com/alexandredev3/nodejs-clean-architeture/,1065,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7057,0.0206,87.9693,55.0952,0.5003,-0.0003
boxes_and_arrows,event-driven,entire,dynamic,Elkinmt19_feature-hero-ml,y,"DBs, servers, packages",general,uni,data_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Elkinmt19/feature-hero-ml,"rectangles, cylinders, icons","apache, kinesis, aws, snowflake, bigquery, redshift, synapse, google",https://github.com/Elkinmt19/feature-hero-ml/,897,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4377,0.0134,88.4848,59.0340,0.5718,0.0021
boxes,client-server,part,static,mateuseap_apache-airflow,y,sub-systems,general,NA,NA,n,n,n,high,n,n,,maintainability,mateuseap/apache-airflow,rectangles,apache,https://github.com/mateuseap/apache-airflow/,1082,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.4817,0.0474,88.5667,42.3606,0.2497,0.0030
icons_and_arrows,client-server,entire,static,mxaviersmp_spotify-tracker,y,"technologies, APIs",general,bi,communication,n,y,n,high,n,n,,maintainability,mxaviersmp/spotify-tracker,icons,"apache, aws, github",https://github.com/mxaviersmp/spotify-tracker/,1061,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.7332,0.0130,89.7696,64.0244,0.8114,0.0021
UML,NA,part,dynamic,quasirsg_Henry-M3,y,processes,control_flow,uni,control_flow,n,y,n,low,n,n,,functional_suitability,quasirsg/Henry-M3,rectangles,NA,https://github.com/quasirsg/Henry-M3/,705,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9417,0.0142,89.6206,56.4468,0.5252,0.0063
boxes_and_arrows,pipes-and-filters,part,static,qnib_qframe,y,packages,data_flow,bi,"dependencies, data_flow",n,y,n,medium,n,n,,functional_suitability,qnib/qframe,rectangles,qt,https://github.com/qnib/qframe/,1419,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.6483,0.0329,89.4462,48.4504,0.3993,0.0026
boxes_and_arrows,layered,entire,static,ArnBaudzus_FluxSurfer,y,sub-systems,general,uni,control_flow,text,y,n,high,n,n,,maintainability,ArnBaudzus/FluxSurfer,rectangles,NA,https://github.com/ArnBaudzus/FluxSurfer/,1135,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.3622,0.0303,87.3957,53.4291,0.4376,0.0004
boxes_and_arrows,"SOA, event-driven",entire+,static,swir-rs_swir,y,"technologies, DBs, sub-systems",general,bi,"communication, dependencies",n,y,n,high,n,y,,maintainability,swir-rs/swir,rectangles,"redis, aws, apache, prometheus, nats, jaeger, swir",https://github.com/swir-rs/swir/,1034,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,29.7221,0.0327,66.7436,52.3083,0.4224,0.0006
icons_and_arrows,NA,entire+,dynamic,dspace-group_simphera-reference-architecture-azure,y,"servers, containers","deployment, connectivity",uni,"dependencies, communication",n,y,n,high,n,n,,"interaction_capability, functional_suitability",dspace-group/simphera-reference-architecture-azure,icons,"bastion, azure, nginx, postgresql, kubernetes, simphera",https://github.com/dspace-group/simphera-reference-architecture-azure/,1089,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3410,0.0121,89.0393,64.2023,0.7853,-0.0013
UML,client-server,part,dynamic,inovex_scrumlr.io,y,"servers, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,inovex/scrumlr.io,"rectangles, ellipses",sql,https://github.com/inovex/scrumlr.io/,1359,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7175,0.0130,89.1419,56.1487,0.4657,-0.0024
icons_and_arrows,"client-server, layered",entire+,dynamic,vishipayyallore_blazorwasm-apim-api-sql-redis,y,"APIs, containers, technologies, DBs",control_flow,uni,control_flow,"text, snapshots",y,n,high,n,n,,functional_suitability,vishipayyallore/blazorwasm-apim-api-sql-redis,icons,"azure, blazor, auth0, sql",https://github.com/vishipayyallore/blazorwasm-apim-api-sql-redis/,1036,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9430,0.0113,89.8208,61.4256,0.7225,-0.0014
boxes_and_arrows,event-driven,entire,static,orchsym_runtime,y,"sub-systems, DBs",general,uni,"communication, control_flow",n,y,n,high,n,y,"Even when colors are used, the meaning of the colors is not explicit",maintainability,orchsym/runtime,"rectangles, cylinders",apache,https://github.com/orchsym/runtime/,1310,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA
icons_and_arrows,event-driven,part,dynamic,castle-finance_vault-transaction-indexer,y,"DBs, functions",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,castle-finance/vault-transaction-indexer,"icons, 3d",aws,https://github.com/castle-finance/vault-transaction-indexer/,997,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.3559,0.0121,89.6006,62.4189,0.6822,0.0003
boxes_and_arrows,"clean, hexagonal",entire+,static,hex-js_nodejs-hexagonal-boilerplate-ts,n,"sub-systems, layers",general,uni,"dependencies, communication",n,y,y,high,n,n,,maintainability,hex-js/nodejs-hexagonal-boilerplate-ts,rectangles,NA,https://github.com/hex-js/nodejs-hexagonal-boilerplate-ts/,1098,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1878,0.0174,86.3123,57.1578,0.5349,0.0007
icons_and_arrows,client-server,entire+,static,NodleCode_n1,y,"servers, clients",deployment,bi,communication,n,y,n,high,n,n,,flexibility,NodleCode/n1,icons,NA,https://github.com/NodleCode/n1/,1285,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2173,0.0155,89.6435,57.4771,0.6950,0.0001
boxes_and_arrows,NA,entire,static,ZID-Automat_Controller-ZIDAutomat,n,"sub-systems, APIs",general,no,NA,n,y,n,high,n,n,,maintainability,ZID-Automat/Controller-ZIDAutomat,"rectangles, ellipses",NA,https://github.com/ZID-Automat/Controller-ZIDAutomat/,985,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0012,0.0141,86.4411,57.7457,0.7177,-0.0011
icons_and_arrows,NA,entire,dynamic,DJMcK_aws-lake-training,y,technologies,control_flow,uni,control_flow,n,y,n,medium,n,y,,"functional_suitability, maintainability",DJMcK/aws-lake-training,icons,aws,https://github.com/DJMcK/aws-lake-training/,1287,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2718,0.0122,89.4377,62.7242,0.6313,-0.0004
boxes_and_arrows,NA,entire,static,nforge_devnote,y,"packages, sub-systems, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,nforge/devnote,rectangles,javascript,https://github.com/nforge/devnote/,1077,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.9552,0.0142,88.9376,57.6286,0.5564,-0.0017
boxes_and_arrows,NA,part,dynamic,opstree_OT-Microservices-Training,y,"classes, DBs, sub-systems",control_flow,uni,data_flow,n,y,n,high,n,n,"The lack of a legen makes connector nature much harder to understand (e.g., what does a dashed line stand for?)","functional_suitability, maintainability",opstree/OT-Microservices-Training,"rectangles, cylinders, icons","go, java, python, elasticsearch, mysql",https://github.com/opstree/OT-Microservices-Training/,1096,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.7088,0.0130,89.9172,57.9463,0.5292,-0.0015
icons_and_arrows,client-server,part,dynamic,victorshinya_serverless-chatbot,y,"DBs, technologies, devices",control_flow,bi,control_flow,n,y,n,high,n,n,,maintainability,victorshinya/serverless-chatbot,"icons, circles",ibm,https://github.com/victorshinya/serverless-chatbot/,674,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,40.3723,0.0096,89.9573,62.4637,0.8097,-0.0001
icons_and_arrows,layered,part,dynamic,itselavia_edge-computing-platform-for-deep-learning-apps,y,"technologies, hardware_components",control_flow,bi,control_flow,text,y,n,high,y,y,,"functional_suitability, maintainability",itselavia/edge-computing-platform-for-deep-learning-apps,"rectangles, icons","kubernetes, react, raspberry, google, java, go, python",https://github.com/itselavia/edge-computing-platform-for-deep-learning-apps/,1361,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5517,0.0149,89.8875,65.7025,0.7822,0.0003
boxes_and_arrows,SOA,part,dynamic,danielfm_prometheus-for-developers,y,"technologies, servers, sub-systems",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, maintainability",danielfm/prometheus-for-developers,"rectangles, icons, squares","prometheus, grafana, kubernetes",https://github.com/danielfm/prometheus-for-developers/,638,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0537,0.0140,88.9135,61.7791,0.7040,-0.0008
icons_and_arrows,SOA,part,dynamic,alfredcs_immersion_day_labs,y,"technologies, servers, clients",deployment,uni,control_flow,n,y,n,high,n,n,,performance_efficiency,alfredcs/immersion_day_labs,"rectangles, icons",aws,https://github.com/alfredcs/immersion_day_labs/,1014,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3752,0.0170,89.4944,58.1223,0.5750,0.0028
icons_and_arrows,"client-server, publish-subscribe, SOA",entire,static,GoogleCloudPlatform_datacatalog-tag-engine,y,"clients, technologies, functions",deployment,uni,control_flow,n,y,n,high,n,n,,"flexibility, performance_efficiency",GoogleCloudPlatform/datacatalog-tag-engine,"icons, rectangles",bigquery,https://github.com/GoogleCloudPlatform/datacatalog-tag-engine/,972,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.1569,0.0492,30.0001,47.6353,0.2320,-0.0002
icons_and_arrows,client-server,entire+,dynamic,BoraxTheClean_DevelopmentMachine,y,"clients, servers, technologies",security,uni,control_flow,n,y,n,high,n,n,,security,BoraxTheClean/DevelopmentMachine,"icons, 3d",aws,https://github.com/BoraxTheClean/DevelopmentMachine/,615,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.3344,0.0108,89.3950,62.8771,0.6983,0.0006
boxes_and_arrows,NA,part,static,lubkoKuzenko_FE-Interview-Questions,y,packages,general,uni,dependencies,n,y,n,medium,n,y,manual sketch,maintainability,lubkoKuzenko/FE-Interview-Questions,rectangles,angular,https://github.com/lubkoKuzenko/FE-Interview-Questions/,994,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.7209,0.0116,89.9275,58.0979,0.4578,-0.0006
boxes_and_arrows,NA,part,dynamic,Luizbrandt_users-crud-salesforce,y,"functions, clients, servers",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Luizbrandt/users-crud-salesforce,rectangles,salesforce,https://github.com/Luizbrandt/users-crud-salesforce/,867,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1956,0.0155,88.3033,54.5051,0.4333,0.0013
icons_and_arrows,event-driven,part,dynamic,becloudway_serverless-data-pipeline,y,"functions, technologies",control_flow,uni,control_flow,n,y,n,medium,n,n,,"functional_suitability, maintainability",becloudway/serverless-data-pipeline,icons,"aws, slack",https://github.com/becloudway/serverless-data-pipeline/,1356,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0070,0.0126,89.7455,61.7668,0.7248,-0.0000
"boxes_and_arrows, icons_and_arrows",NA,entire+,static,azuregomez_SecurePaaS,y,"sub-systems, DBs, servers","security, connectivity",uni,communication,n,y,y,high,n,y,good example of security view,security,azuregomez/SecurePaaS,"rectangles, icons",sql,https://github.com/azuregomez/securepaas/,742,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.6733,0.0117,89.7226,63.3911,0.7872,0.0011
icons_and_arrows,event-driven,entire+,dynamic,marekq_rss-lambda,n,"functions, clients, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",marekq/rss-lambda,"circles, icons",aws,https://github.com/marekq/rss-lambda/,1157,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,40.3802,0.0096,89.9604,62.9580,0.7428,0.0004
icons_and_arrows,client-server,entire+,"static, dynamic",Software-Engineering-DHBW_bikeminer,y,"clients, servers, containers",data_flow,uni,data_flow,n,y,n,high,n,y,,"functional_suitability, maintainability",Software-Engineering-DHBW/bikeminer,"rectangles, icons, cylinders",docker,https://github.com/Software-Engineering-DHBW/bikeminer/,1197,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6457,0.0147,88.7010,62.0852,0.7483,0.0044
boxes,"clean, client-server",entire,static,mincloud1501_MSA_miniProject,y,"clients, servers, containers",deployment,no,dependencies,n,y,n,high,n,y,,maintainability,mincloud1501/MSA_miniProject,circles,docker,https://github.com/mincloud1501/MSA_miniProject/,863,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4901,0.0150,89.9111,57.7951,0.6719,0.0018
boxes_and_arrows,client-server,entire+,static,pgrignaffini_AlgoCrowd,n,"clients, servers, DBs",general,uni,communication,n,y,n,high,n,y,,maintainability,pgrignaffini/AlgoCrowd,rectangles,blockchain,https://github.com/pgrignaffini/AlgoCrowd/,925,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4578,0.0119,88.4321,58.0029,0.6503,0.0009
icons_and_arrows,event-driven,entire,dynamic,spagnuolocarmine_serverless-computing-for-iot,y,"devices, hardware_components, DBs, clients",data_flow,uni,data_flow,n,y,n,high,n,n,iot,"functional_suitability, maintainability",spagnuolocarmine/serverless-computing-for-iot,icons,nuclio,https://github.com/spagnuolocarmine/serverless-computing-for-iot/,816,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9898,0.0141,89.5967,59.1864,0.6512,-0.0002
boxes_and_arrows,NA,entire+,dynamic,aurelien-m_raspberrypi-rustpy,y,"devices, hardware_components, clients","deployment, data_flow",uni,data_flow,n,y,y,high,n,y,,maintainability,aurelien-m/raspberrypi-rustpy,"rectangles, icons","python, rust, raspberry",https://github.com/aurelien-m/raspberrypi-rustpy/,1502,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.4471,0.0239,89.8205,57.1423,0.6519,-0.0025
boxes_and_arrows,event-driven,entire,static,apache_apisix-dashboard,y,"packages, servers, layers, network_components","deployment, data_flow",uni,data_flow,n,y,n,medium,n,y,,maintainability,apache/apisix-dashboard,rectangles,apache,https://github.com/apache/apisix-dashboard/,1267,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8608,0.0144,89.7897,60.3963,0.6863,-0.0017
boxes_and_arrows,"SOA, client-server",entire,static,EMERIC237_Restaurant-reservation-app,n,"services, packages, DBs, layers","deployment, data_flow",uni,communication,n,y,n,high,n,y,,maintainability,EMERIC237/Restaurant-reservation-app,rectangles,"react, nodejs, postgresql",https://github.com/EMERIC237/Restaurant-reservation-app/,1356,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.2893,0.0273,78.3620,51.1470,0.4112,0.0018
UML,NA,part,dynamic,s-sokolko_smev3_adapter_service,n,"clients, packages",data_flow,bi,communication,n,y,n,high,n,n,,functional_suitability,s-sokolko/smev3_adapter_service,rectangles,mongodb,https://github.com/s-sokolko/smev3_adapter_service/,1016,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4376,0.0107,89.5983,58.1637,0.6498,0.0004
icons_and_arrows,"client-server, layered",part,dynamic,UoA-eResearch_hub-stack,y,"functions, DBs, sub-systems, technologies",deployment,uni,control_flow,n,y,n,medium,n,y,,maintainability,UoA-eResearch/hub-stack,"rectangles, icons","shibboleth, sentry, google, grafana, aws, elasticsearch, kibana, contentful, python",https://github.com/UoA-eResearch/hub-stack/,1447,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,NA,entire,static,rinkako_CStoreDBMS,y,"classes, layers, DBs",general,uni,"inheritance, dependencies",n,y,n,medium,n,y,,maintainability,rinkako/CStoreDBMS,rectangles,NA,https://github.com/Rinkako/CStoreDB/,1077,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.1650,0.0174,86.6137,58.4283,0.6332,-0.0041
boxes_and_arrows,"client-server, layered",entire+,dynamic,i5ting_stuq-koa,y,"clients, servers, DBs",connectivity,uni,communication,n,y,n,high,n,n,,functional_suitability,i5ting/stuq-koa,rectangles,NA,https://github.com/i5ting/stuq-koa/,825,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.2880,0.0172,89.0351,57.7035,0.6413,0.0002
icons_and_arrows,event-driven,entire,dynamic,victor369basu_Real-time-stock-market-prediction,n,"DBs, technologies",control_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,victor369basu/Real-time-stock-market-prediction,icons,"mongodb, tensorflow",https://github.com/victor369basu/Real-time-stock-market-prediction/,818,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9677,0.0159,86.9727,56.9396,0.5069,-0.0033
icons_and_arrows,SOA,entire,dynamic,IBM_logdna-cos,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBM/logdna-cos,"circles, icons","ibm, nodejs, logdna",https://github.com/IBM/logdna-cos/,697,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.0544,0.0112,89.9187,63.5464,0.8050,0.0054
boxes_and_arrows,NA,part,dynamic,xinsongyan_talos_pal_locomotion_slmc,y,"classes, steps",control_flow,uni,control_flow,n,y,n,medium,n,y,"even if colors are used (for connectors or different elements), what the colors does  never seem to be specified",functional_suitability,xinsongyan/talos_pal_locomotion_slmc,rectangles,NA,https://github.com/xinsongyan/talos_pal_locomotion_slmc/,997,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1252,0.0175,89.8673,58.9451,0.6763,-0.0003
boxes_and_arrows,NA,entire,static,FudanOCR_FudanOCR,y,packages,general,bi,dependencies,n,y,n,high,n,n,,maintainability,FudanOCR/FudanOCR,rectangles,NA,https://github.com/FudanOCR/FudanOCR/,1125,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3793,0.0152,89.8202,59.5507,0.6977,-0.0001
boxes_and_arrows,NA,entire+,static,CodisLabs_codis,n,"clients, servers, network_components",deployment,uni,"data_flow, dependencies",n,y,n,high,n,n,,maintainability,CodisLabs/codis,rectangles,NA,https://github.com/CodisLabs/codis/,1184,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,SOA,part,dynamic,vectranetworks_AWS-Traffic-Mirroring-Session-Manager,n,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,,functional_suitability,vectranetworks/AWS-Traffic-Mirroring-Session-Manager,rectangles,aws,https://github.com/vectranetworks/AWS-Traffic-Mirroring-Session-Manager/,801,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4729,0.0134,88.3894,57.3363,0.6129,-0.0011
boxes_and_arrows,smart-contracts,part,static,securesecrets_shadeswap,n,"technologies, packages, classes",general,uni,inheritance,n,y,n,high,n,n,blockchain,maintainability,securesecrets/shadeswap,rectangles,NA,https://github.com/securesecrets/shadeswap/,1184,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8248,0.0114,88.5386,58.5561,0.6540,-0.0001
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",https://github.com/Spiderpig86/SmoresUnderflow/,1258,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.5114,0.0106,89.9580,64.3065,0.7892,0.0027
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",https://github.com/Spiderpig86/SmoresUnderflow/,841,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.5114,0.0106,89.9580,64.3065,0.7892,0.0027
icons_and_arrows,client-server,part,dynamic,icoxfog417_karura,y,steps,control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",icoxfog417/karura,icons,NA,https://github.com/icoxfog417/karura/,1067,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6549,0.0147,89.4392,60.9577,0.7292,-0.0003
icons_and_arrows,NA,entire+,dynamic,hypertrack_live-app-android,y,"steps, clients, sub-systems",control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",hypertrack/live-app-android,icons,NA,https://github.com/hypertrack/live-app-android/,841,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2124,0.0123,89.0638,62.2131,0.7569,-0.0015
boxes,layered,entire+,static,yuwen123441_NVMeAutomation,y,sub-systems,general,bi,NA,n,y,n,high,n,n,,maintainability,yuwen123441/NVMeAutomation,rectangles,NA,https://github.com/yuwen123441/NVMeAutomation/,863,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8374,0.0144,89.9164,57.2257,0.6187,-0.0003
