Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,oneShot_gpt_LLM_Clarity_Rating,oneShot_gpt_LLM_Completeness_Rating,oneShot_gpt_LLM_Consistency_Rating,oneShot_gpt_PSNR,oneShot_gpt_RMSE,oneShot_gpt_SAM,oneShot_gpt_SRE,oneShot_gpt_SSIM,oneShot_gpt_UIQ,repo_url,summary_token_count
icons_and_arrows,publish-subscribe,entire+,dynamic,jinnerbichler_flash-home,n,"sub-systems, servers",connectivity,uni,communication,n,y,n,high,n,n,iot,interaction_capability,jinnerbichler/flash-home,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9149,0.0568,5.0780,22.4272,0.0128,0.0000,https://github.com/jinnerbichler/flash-home/,963
UML,MVC,entire,static,OpenPSD_modelbank,n,"packages, classes, data",general,uni,inheritance,n,y,n,medium,n,y,,maintainability,OpenPSD/modelbank,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.6738,0.0147,87.5127,58.5575,0.5848,-0.0029,https://github.com/OpenPSD/modelbank/,1126
boxes_and_arrows,NA,entire+,static,minism_hotel,y,"servers, containers",deployment,uni,communication,text,y,n,high,n,n,,"flexibility, performance_efficiency",minism/hotel,rectangles,unity,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0011,0.0562,12.9186,35.5025,0.0877,-0.0006,https://github.com/minism/hotel/,961
boxes_and_arrows,MVC,entire,dynamic,IBM_kubernetes-storage,y,"APIs, containers","deployment, scheduling",bi,"API_calls, data_flow",n,y,n,high,y,n,,"functional_suitability, performance_efficiency",IBM/kubernetes-storage,rectangles,kubernetes,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.4775,0.0134,89.7800,61.7159,0.7431,0.0011,https://github.com/IBM/kubernetes-storage/,739
boxes_and_arrows,event-driven,entire+,"static, dynamic",tamu-datathon-org_galaxy,n,"sub-systems, DBs",general,uni,communication,n,y,n,high,n,n,,maintainability,tamu-datathon-org/galaxy,"rectangles, circles","postgresql, mongodb",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.2213,0.0138,87.7797,65.6865,0.8196,-0.0012,https://github.com/tamu-datathon-org/galaxy/,688
"icons_and_arrows, boxes","event-driven, client-server",entire,dynamic,odh-labs_predictive-maint,y,"containers, sub-systems, technologies",deployment,uni,control_flow,n,y,n,high,n,y,,functional_suitability,odh-labs/predictive-maint,"rectangles, icons","superset, tableau, red_hat, prometheus, aws",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.4421,0.0169,88.8708,63.2089,0.7259,0.0009,https://github.com/odh-labs/predictive-maint/,1296
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,DehengYang_APRConfig,n,packages,control_flow,uni,control_flow,n,y,n,low,n,y,,functional_suitability,DehengYang/APRConfig,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.5267,0.0188,85.1987,60.5750,0.6713,0.0009,https://github.com/DehengYang/APRConfig/,1336
icons_and_arrows,layered,entire+,static,brightzheng100_instana-handson-labs,y,"servers, containers, technologies",deployment,uni,communication,snapshots,y,n,high,n,y,,flexibility,brightzheng100/instana-handson-labs,"rectangles, icons","docker, apache, cassandra, butles, nginx, cockroachdb, kubernetes, spring",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6632,0.0165,88.7150,60.1477,0.5751,0.0016,https://github.com/brightzheng100/instana-handson-labs/,892
boxes,layered,entire,static,inIT-HF_gr-corrsounder,n,"packages, layers",general,bi,NA,n,n,n,high,n,y,,maintainability,inIT-HF/gr-corrsounder,"rectangles, squares",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.6799,0.0232,83.7393,53.2172,0.2882,0.0052,https://github.com/inIT-HF/gr-corrsounder/,1382
icons_and_arrows,MVC,entire+,"static, dynamic",medlab_320-online-prototype,y,sub-systems,general,bi,communication,code_snippet,y,n,medium,n,y,,flexibility,medlab/320-online-prototype,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9007,0.0143,88.9652,55.5798,0.5022,-0.0006,https://github.com/medlab/320-online-prototype/,997
boxes_and_arrows,NA,part,static,annashres_CustomerBot,n,"DBs, sub-systems",data_flow,no,data_flow,n,y,n,high,n,n,manual sketch,maintainability,annashres/CustomerBot,rectangles,microsoft,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7990,0.0229,89.7661,58.7024,0.5708,0.0002,https://github.com/annashres/CustomerBot/,967
boxes_and_arrows,client-server,entire+,dynamic,TestHaters_ctflow,y,"sub-systems, technologies",general,uni,control_flow,snapshots,y,n,high,n,n,,functional_suitability,TestHaters/ctflow,icons,cypress.io,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7134,0.0130,89.4955,62.5176,0.8247,-0.0000,https://github.com/TestHaters/ctflow/,1121
UML,"MVC, clean",entire,static,ballerina-platform_asyncapi-tools,y,"classes, interfaces, functions, layers",general,uni,inheritance,n,y,n,low,n,y,good example of low level UML architecture,maintainability,ballerina-platform/asyncapi-tools,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0468,0.0125,89.7443,61.7132,0.6815,0.0003,https://github.com/ballerina-platform/asyncapi-tools/,1362
boxes_and_arrows,NA,entire,static,Fenkey_irma,n,sub-systems,general,bi,communication,n,y,n,high,n,n,,maintainability,Fenkey/irma,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9712,0.0159,87.0627,56.5247,0.5981,0.0012,https://github.com/Fenkey/irma/,1468
boxes,clean,entire,static,alexandredev3_nodejs-clean-architeture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alexandredev3/nodejs-clean-architeture,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7006,0.0207,87.9498,55.0932,0.5052,0.0014,https://github.com/alexandredev3/nodejs-clean-architeture/,1065
boxes_and_arrows,event-driven,entire,dynamic,Elkinmt19_feature-hero-ml,y,"DBs, servers, packages",general,uni,data_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Elkinmt19/feature-hero-ml,"rectangles, cylinders, icons","apache, kinesis, aws, snowflake, bigquery, redshift, synapse, google",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1662,0.0174,88.4175,57.9882,0.5426,0.0019,https://github.com/Elkinmt19/feature-hero-ml/,897
boxes,client-server,part,static,mateuseap_apache-airflow,y,sub-systems,general,NA,NA,n,n,n,high,n,n,,maintainability,mateuseap/apache-airflow,rectangles,apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3546,0.0481,88.6809,42.2972,0.2694,-0.0008,https://github.com/mateuseap/apache-airflow/,1082
icons_and_arrows,client-server,entire,static,mxaviersmp_spotify-tracker,y,"technologies, APIs",general,bi,communication,n,y,n,high,n,n,,maintainability,mxaviersmp/spotify-tracker,icons,"apache, aws, github",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.3766,0.0135,89.7568,63.8456,0.8073,0.0018,https://github.com/mxaviersmp/spotify-tracker/,1061
UML,NA,part,dynamic,quasirsg_Henry-M3,y,processes,control_flow,uni,control_flow,n,y,n,low,n,n,,functional_suitability,quasirsg/Henry-M3,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6372,0.0147,89.5727,56.2934,0.5241,0.0018,https://github.com/quasirsg/Henry-M3/,705
boxes_and_arrows,pipes-and-filters,part,static,qnib_qframe,y,packages,data_flow,bi,"dependencies, data_flow",n,y,n,medium,n,n,,functional_suitability,qnib/qframe,rectangles,qt,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.8019,0.0324,89.4192,48.5310,0.3358,-0.0005,https://github.com/qnib/qframe/,1419
boxes_and_arrows,layered,entire,static,ArnBaudzus_FluxSurfer,y,sub-systems,general,uni,control_flow,text,y,n,high,n,n,,maintainability,ArnBaudzus/FluxSurfer,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.4367,0.0301,87.5150,53.3875,0.4217,0.0023,https://github.com/ArnBaudzus/FluxSurfer/,1135
boxes_and_arrows,"SOA, event-driven",entire+,static,swir-rs_swir,y,"technologies, DBs, sub-systems",general,bi,"communication, dependencies",n,y,n,high,n,y,,maintainability,swir-rs/swir,rectangles,"redis, aws, apache, prometheus, nats, jaeger, swir",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,29.7480,0.0326,66.6434,52.3213,0.4005,0.0075,https://github.com/swir-rs/swir/,1034
icons_and_arrows,NA,entire+,dynamic,dspace-group_simphera-reference-architecture-azure,y,"servers, containers","deployment, connectivity",uni,"dependencies, communication",n,y,n,high,n,n,,"interaction_capability, functional_suitability",dspace-group/simphera-reference-architecture-azure,icons,"bastion, azure, nginx, postgresql, kubernetes, simphera",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4162,0.0107,89.0543,64.7560,0.8332,-0.0018,https://github.com/dspace-group/simphera-reference-architecture-azure/,1089
UML,client-server,part,dynamic,inovex_scrumlr.io,y,"servers, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,inovex/scrumlr.io,"rectangles, ellipses",sql,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9385,0.0127,89.1305,56.2657,0.5056,-0.0003,https://github.com/inovex/scrumlr.io/,1359
icons_and_arrows,"client-server, layered",entire+,dynamic,vishipayyallore_blazorwasm-apim-api-sql-redis,y,"APIs, containers, technologies, DBs",control_flow,uni,control_flow,"text, snapshots",y,n,high,n,n,,functional_suitability,vishipayyallore/blazorwasm-apim-api-sql-redis,icons,"azure, blazor, auth0, sql",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.2021,0.0110,89.8108,61.5680,0.7409,0.0005,https://github.com/vishipayyallore/blazorwasm-apim-api-sql-redis/,1036
boxes_and_arrows,event-driven,entire,static,orchsym_runtime,y,"sub-systems, DBs",general,uni,"communication, control_flow",n,y,n,high,n,y,"Even when colors are used, the meaning of the colors is not explicit",maintainability,orchsym/runtime,"rectangles, cylinders",apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/orchsym/runtime/,1310
icons_and_arrows,event-driven,part,dynamic,castle-finance_vault-transaction-indexer,y,"DBs, functions",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,castle-finance/vault-transaction-indexer,"icons, 3d",aws,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.6259,0.0131,89.5517,62.0538,0.6542,0.0012,https://github.com/castle-finance/vault-transaction-indexer/,997
boxes_and_arrows,"clean, hexagonal",entire+,static,hex-js_nodejs-hexagonal-boilerplate-ts,n,"sub-systems, layers",general,uni,"dependencies, communication",n,y,y,high,n,n,,maintainability,hex-js/nodejs-hexagonal-boilerplate-ts,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.9716,0.0178,86.2960,57.0496,0.5653,0.0049,https://github.com/hex-js/nodejs-hexagonal-boilerplate-ts/,1098
icons_and_arrows,client-server,entire+,static,NodleCode_n1,y,"servers, clients",deployment,bi,communication,n,y,n,high,n,n,,flexibility,NodleCode/n1,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2998,0.0153,89.6407,57.5189,0.7231,-0.0002,https://github.com/NodleCode/n1/,1285
boxes_and_arrows,NA,entire,static,ZID-Automat_Controller-ZIDAutomat,n,"sub-systems, APIs",general,no,NA,n,y,n,high,n,n,,maintainability,ZID-Automat/Controller-ZIDAutomat,"rectangles, ellipses",NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/ZID-Automat/Controller-ZIDAutomat/,985
icons_and_arrows,NA,entire,dynamic,DJMcK_aws-lake-training,y,technologies,control_flow,uni,control_flow,n,y,n,medium,n,y,,"functional_suitability, maintainability",DJMcK/aws-lake-training,icons,aws,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.5879,0.0118,89.4355,62.8822,0.6827,0.0002,https://github.com/DJMcK/aws-lake-training/,1287
boxes_and_arrows,NA,entire,static,nforge_devnote,y,"packages, sub-systems, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,nforge/devnote,rectangles,javascript,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.2817,0.0153,88.9060,57.2613,0.4847,-0.0073,https://github.com/nforge/devnote/,1077
boxes_and_arrows,NA,part,dynamic,opstree_OT-Microservices-Training,y,"classes, DBs, sub-systems",control_flow,uni,data_flow,n,y,n,high,n,n,"The lack of a legen makes connector nature much harder to understand (e.g., what does a dashed line stand for?)","functional_suitability, maintainability",opstree/OT-Microservices-Training,"rectangles, cylinders, icons","go, java, python, elasticsearch, mysql",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.1419,0.0139,89.8931,57.6201,0.5696,-0.0040,https://github.com/opstree/OT-Microservices-Training/,1096
icons_and_arrows,client-server,part,dynamic,victorshinya_serverless-chatbot,y,"DBs, technologies, devices",control_flow,bi,control_flow,n,y,n,high,n,n,,maintainability,victorshinya/serverless-chatbot,"icons, circles",ibm,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.5927,0.0118,89.8422,61.5876,0.8093,-0.0017,https://github.com/victorshinya/serverless-chatbot/,674
icons_and_arrows,layered,part,dynamic,itselavia_edge-computing-platform-for-deep-learning-apps,y,"technologies, hardware_components",control_flow,bi,control_flow,text,y,n,high,y,y,,"functional_suitability, maintainability",itselavia/edge-computing-platform-for-deep-learning-apps,"rectangles, icons","kubernetes, react, raspberry, google, java, go, python",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1377,0.0156,89.8641,65.4949,0.7964,0.0004,https://github.com/itselavia/edge-computing-platform-for-deep-learning-apps/,1361
boxes_and_arrows,SOA,part,dynamic,danielfm_prometheus-for-developers,y,"technologies, servers, sub-systems",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, maintainability",danielfm/prometheus-for-developers,"rectangles, icons, squares","prometheus, grafana, kubernetes",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9367,0.0160,88.8726,61.2535,0.7221,-0.0006,https://github.com/danielfm/prometheus-for-developers/,638
icons_and_arrows,SOA,part,dynamic,alfredcs_immersion_day_labs,y,"technologies, servers, clients",deployment,uni,control_flow,n,y,n,high,n,n,,performance_efficiency,alfredcs/immersion_day_labs,"rectangles, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6825,0.0164,89.4766,58.2415,0.6048,-0.0015,https://github.com/alfredcs/immersion_day_labs/,1014
icons_and_arrows,"client-server, publish-subscribe, SOA",entire,static,GoogleCloudPlatform_datacatalog-tag-engine,y,"clients, technologies, functions",deployment,uni,control_flow,n,y,n,high,n,n,,"flexibility, performance_efficiency",GoogleCloudPlatform/datacatalog-tag-engine,"icons, rectangles",bigquery,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.0533,0.0498,29.9968,47.5835,0.2397,-0.0004,https://github.com/GoogleCloudPlatform/datacatalog-tag-engine/,972
icons_and_arrows,client-server,entire+,dynamic,BoraxTheClean_DevelopmentMachine,y,"clients, servers, technologies",security,uni,control_flow,n,y,n,high,n,n,,security,BoraxTheClean/DevelopmentMachine,"icons, 3d",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.3425,0.0108,89.4008,62.8840,0.7309,0.0002,https://github.com/BoraxTheClean/DevelopmentMachine/,615
boxes_and_arrows,NA,part,static,lubkoKuzenko_FE-Interview-Questions,y,packages,general,uni,dependencies,n,y,n,medium,n,y,manual sketch,maintainability,lubkoKuzenko/FE-Interview-Questions,rectangles,angular,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3877,0.0135,89.8588,57.4166,0.4194,-0.0010,https://github.com/lubkoKuzenko/FE-Interview-Questions/,994
boxes_and_arrows,NA,part,dynamic,Luizbrandt_users-crud-salesforce,y,"functions, clients, servers",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Luizbrandt/users-crud-salesforce,rectangles,salesforce,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.7398,0.0163,88.3086,54.2993,0.5332,0.0140,https://github.com/Luizbrandt/users-crud-salesforce/,867
icons_and_arrows,event-driven,part,dynamic,becloudway_serverless-data-pipeline,y,"functions, technologies",control_flow,uni,control_flow,n,y,n,medium,n,n,,"functional_suitability, maintainability",becloudway/serverless-data-pipeline,icons,"aws, slack",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.5578,0.0149,89.7174,61.0299,0.6951,0.0004,https://github.com/becloudway/serverless-data-pipeline/,1356
"boxes_and_arrows, icons_and_arrows",NA,entire+,static,azuregomez_SecurePaaS,y,"sub-systems, DBs, servers","security, connectivity",uni,communication,n,y,y,high,n,y,good example of security view,security,azuregomez/SecurePaaS,"rectangles, icons",sql,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.8300,0.0144,89.6458,62.4406,0.7192,-0.0003,https://github.com/azuregomez/securepaas/,742
icons_and_arrows,event-driven,entire+,dynamic,marekq_rss-lambda,n,"functions, clients, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",marekq/rss-lambda,"circles, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.2430,0.0109,89.9426,62.3915,0.7754,0.0001,https://github.com/marekq/rss-lambda/,1157
icons_and_arrows,client-server,entire+,"static, dynamic",Software-Engineering-DHBW_bikeminer,y,"clients, servers, containers",data_flow,uni,data_flow,n,y,n,high,n,y,,"functional_suitability, maintainability",Software-Engineering-DHBW/bikeminer,"rectangles, icons, cylinders",docker,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.4241,0.0151,88.6767,61.9731,0.7508,-0.0023,https://github.com/Software-Engineering-DHBW/bikeminer/,1197
boxes,"clean, client-server",entire,static,mincloud1501_MSA_miniProject,y,"clients, servers, containers",deployment,no,dependencies,n,y,n,high,n,y,,maintainability,mincloud1501/MSA_miniProject,circles,docker,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.6307,0.0165,89.8353,57.0413,0.6021,0.0018,https://github.com/mincloud1501/MSA_miniProject/,863
boxes_and_arrows,client-server,entire+,static,pgrignaffini_AlgoCrowd,n,"clients, servers, DBs",general,uni,communication,n,y,n,high,n,y,,maintainability,pgrignaffini/AlgoCrowd,rectangles,blockchain,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0731,0.0125,88.4119,57.8106,0.6219,-0.0033,https://github.com/pgrignaffini/AlgoCrowd/,925
icons_and_arrows,event-driven,entire,dynamic,spagnuolocarmine_serverless-computing-for-iot,y,"devices, hardware_components, DBs, clients",data_flow,uni,data_flow,n,y,n,high,n,n,iot,"functional_suitability, maintainability",spagnuolocarmine/serverless-computing-for-iot,icons,nuclio,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3347,0.0152,89.5624,58.8697,0.6561,-0.0007,https://github.com/spagnuolocarmine/serverless-computing-for-iot/,816
boxes_and_arrows,NA,entire+,dynamic,aurelien-m_raspberrypi-rustpy,y,"devices, hardware_components, clients","deployment, data_flow",uni,data_flow,n,y,y,high,n,y,,maintainability,aurelien-m/raspberrypi-rustpy,"rectangles, icons","python, rust, raspberry",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.7902,0.0229,89.8076,57.2553,0.6999,0.0001,https://github.com/aurelien-m/raspberrypi-rustpy/,1502
boxes_and_arrows,event-driven,entire,static,apache_apisix-dashboard,y,"packages, servers, layers, network_components","deployment, data_flow",uni,data_flow,n,y,n,medium,n,y,,maintainability,apache/apisix-dashboard,rectangles,apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.7605,0.0183,89.6986,59.3478,0.5612,-0.0045,https://github.com/apache/apisix-dashboard/,1267
boxes_and_arrows,"SOA, client-server",entire,static,EMERIC237_Restaurant-reservation-app,n,"services, packages, DBs, layers","deployment, data_flow",uni,communication,n,y,n,high,n,y,,maintainability,EMERIC237/Restaurant-reservation-app,rectangles,"react, nodejs, postgresql",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,31.2633,0.0273,78.3521,51.1341,0.4236,0.0015,https://github.com/EMERIC237/Restaurant-reservation-app/,1356
UML,NA,part,dynamic,s-sokolko_smev3_adapter_service,n,"clients, packages",data_flow,bi,communication,n,y,n,high,n,n,,functional_suitability,s-sokolko/smev3_adapter_service,rectangles,mongodb,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.1575,0.0110,89.5649,58.0251,0.6742,0.0011,https://github.com/s-sokolko/smev3_adapter_service/,1016
icons_and_arrows,"client-server, layered",part,dynamic,UoA-eResearch_hub-stack,y,"functions, DBs, sub-systems, technologies",deployment,uni,control_flow,n,y,n,medium,n,y,,maintainability,UoA-eResearch/hub-stack,"rectangles, icons","shibboleth, sentry, google, grafana, aws, elasticsearch, kibana, contentful, python",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.0519,0.0158,89.5867,61.2042,0.7215,-0.0021,https://github.com/UoA-eResearch/hub-stack/,1447
boxes_and_arrows,NA,entire,static,rinkako_CStoreDBMS,y,"classes, layers, DBs",general,uni,"inheritance, dependencies",n,y,n,medium,n,y,,maintainability,rinkako/CStoreDBMS,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.0662,0.0176,86.6172,58.3573,0.5890,-0.0045,https://github.com/Rinkako/CStoreDB/,1077
boxes_and_arrows,"client-server, layered",entire+,dynamic,i5ting_stuq-koa,y,"clients, servers, DBs",connectivity,uni,communication,n,y,n,high,n,n,,functional_suitability,i5ting/stuq-koa,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5853,0.0166,89.0310,57.8606,0.7230,-0.0009,https://github.com/i5ting/stuq-koa/,825
icons_and_arrows,event-driven,entire,dynamic,victor369basu_Real-time-stock-market-prediction,n,"DBs, technologies",control_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,victor369basu/Real-time-stock-market-prediction,icons,"mongodb, tensorflow",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.3690,0.0170,86.9347,56.6435,0.4924,0.0002,https://github.com/victor369basu/Real-time-stock-market-prediction/,818
icons_and_arrows,SOA,entire,dynamic,IBM_logdna-cos,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBM/logdna-cos,"circles, icons","ibm, nodejs, logdna",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.5325,0.0118,89.8627,63.2895,0.8021,0.0008,https://github.com/IBM/logdna-cos/,697
boxes_and_arrows,NA,part,dynamic,xinsongyan_talos_pal_locomotion_slmc,y,"classes, steps",control_flow,uni,control_flow,n,y,n,medium,n,y,"even if colors are used (for connectors or different elements), what the colors does  never seem to be specified",functional_suitability,xinsongyan/talos_pal_locomotion_slmc,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3665,0.0170,89.8229,58.8044,0.6968,-0.0009,https://github.com/xinsongyan/talos_pal_locomotion_slmc/,997
boxes_and_arrows,NA,entire,static,FudanOCR_FudanOCR,y,packages,general,bi,dependencies,n,y,n,high,n,n,,maintainability,FudanOCR/FudanOCR,rectangles,NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/FudanOCR/FudanOCR/,1125
boxes_and_arrows,NA,entire+,static,CodisLabs_codis,n,"clients, servers, network_components",deployment,uni,"data_flow, dependencies",n,y,n,high,n,n,,maintainability,CodisLabs/codis,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3412,0.0152,87.9573,62.6066,0.6912,0.0002,https://github.com/CodisLabs/codis/,1184
boxes_and_arrows,SOA,part,dynamic,vectranetworks_AWS-Traffic-Mirroring-Session-Manager,n,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,,functional_suitability,vectranetworks/AWS-Traffic-Mirroring-Session-Manager,rectangles,aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8485,0.0144,88.3399,57.0024,0.5798,-0.0038,https://github.com/vectranetworks/AWS-Traffic-Mirroring-Session-Manager/,801
boxes_and_arrows,smart-contracts,part,static,securesecrets_shadeswap,n,"technologies, packages, classes",general,uni,inheritance,n,y,n,high,n,n,blockchain,maintainability,securesecrets/shadeswap,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1194,0.0139,88.4397,57.7040,0.5370,0.0153,https://github.com/securesecrets/shadeswap/,1184
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0938,0.0111,89.9416,64.0982,0.7880,0.0000,https://github.com/Spiderpig86/SmoresUnderflow/,1258
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0938,0.0111,89.9416,64.0982,0.7880,0.0000,https://github.com/Spiderpig86/SmoresUnderflow/,841
icons_and_arrows,client-server,part,dynamic,icoxfog417_karura,y,steps,control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",icoxfog417/karura,icons,NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.5079,0.0168,89.3719,60.3787,0.6917,-0.0003,https://github.com/icoxfog417/karura/,1067
icons_and_arrows,NA,entire+,dynamic,hypertrack_live-app-android,y,"steps, clients, sub-systems",control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",hypertrack/live-app-android,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1262,0.0124,89.0547,62.1772,0.7931,0.0002,https://github.com/hypertrack/live-app-android/,841
boxes,layered,entire+,static,yuwen123441_NVMeAutomation,y,sub-systems,general,bi,NA,n,y,n,high,n,n,,maintainability,yuwen123441/NVMeAutomation,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7507,0.0145,89.9129,57.1883,0.6110,0.0036,https://github.com/yuwen123441/NVMeAutomation/,863
boxes_and_arrows,layered,entire,static,little-hands_webdbpress-2019-10-ddd,n,"layers, sub-systems",general,uni,dependencies,n,y,n,high,n,n,,maintainability,little-hands/webdbpress-2019-10-ddd,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1531,0.0175,84.3553,61.4060,0.7152,0.0009,https://github.com/little-hands/webdbpress-2019-10-ddd/,852
