Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,oneShot_claude_LLM_Clarity_Rating,oneShot_claude_LLM_Completeness_Rating,oneShot_claude_LLM_Consistency_Rating,oneShot_claude_PSNR,oneShot_claude_RMSE,oneShot_claude_SAM,oneShot_claude_SRE,oneShot_claude_SSIM,oneShot_claude_UIQ,repo_url,summary_token_count
boxes_and_arrows,NA,entire+,static,minism_hotel,y,"servers, containers",deployment,uni,communication,text,y,n,high,n,n,,"flexibility, performance_efficiency",minism/hotel,rectangles,unity,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,25.2545,0.0546,12.9111,35.6262,0.0766,0.0011,https://github.com/minism/hotel/,961
boxes_and_arrows,MVC,entire,dynamic,IBM_kubernetes-storage,y,"APIs, containers","deployment, scheduling",bi,"API_calls, data_flow",n,y,n,high,y,n,,"functional_suitability, performance_efficiency",IBM/kubernetes-storage,rectangles,kubernetes,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2137,0.0123,89.8140,62.0002,0.7464,0.0013,https://github.com/IBM/kubernetes-storage/,739
boxes_and_arrows,event-driven,entire+,"static, dynamic",tamu-datathon-org_galaxy,n,"sub-systems, DBs",general,uni,communication,n,y,n,high,n,n,,maintainability,tamu-datathon-org/galaxy,"rectangles, circles","postgresql, mongodb",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9195,0.0143,87.7842,65.5351,0.7888,0.0016,https://github.com/tamu-datathon-org/galaxy/,688
"icons_and_arrows, boxes","event-driven, client-server",entire,dynamic,odh-labs_predictive-maint,y,"containers, sub-systems, technologies",deployment,uni,control_flow,n,y,n,high,n,y,,functional_suitability,odh-labs/predictive-maint,"rectangles, icons","superset, tableau, red_hat, prometheus, aws",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2150,0.0155,88.9032,63.6066,0.7447,0.0026,https://github.com/odh-labs/predictive-maint/,1296
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,DehengYang_APRConfig,n,packages,control_flow,uni,control_flow,n,y,n,low,n,y,,functional_suitability,DehengYang/APRConfig,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.7869,0.0182,85.2309,60.7047,0.6540,0.0031,https://github.com/DehengYang/APRConfig/,1336
icons_and_arrows,layered,entire+,static,brightzheng100_instana-handson-labs,y,"servers, containers, technologies",deployment,uni,communication,snapshots,y,n,high,n,y,,flexibility,brightzheng100/instana-handson-labs,"rectangles, icons","docker, apache, cassandra, butles, nginx, cockroachdb, kubernetes, spring",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0985,0.0157,88.7905,60.3681,0.6092,-0.0001,https://github.com/brightzheng100/instana-handson-labs/,892
boxes,layered,entire,static,inIT-HF_gr-corrsounder,n,"packages, layers",general,bi,NA,n,n,n,high,n,y,,maintainability,inIT-HF/gr-corrsounder,"rectangles, squares",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.5207,0.0237,83.7099,53.1376,0.2578,0.0005,https://github.com/inIT-HF/gr-corrsounder/,1382
icons_and_arrows,MVC,entire+,"static, dynamic",medlab_320-online-prototype,y,sub-systems,general,bi,communication,code_snippet,y,n,medium,n,y,,flexibility,medlab/320-online-prototype,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6753,0.0131,89.0264,55.9953,0.5775,0.0010,https://github.com/medlab/320-online-prototype/,997
boxes_and_arrows,NA,part,static,annashres_CustomerBot,n,"DBs, sub-systems",data_flow,no,data_flow,n,y,n,high,n,n,manual sketch,maintainability,annashres/CustomerBot,rectangles,microsoft,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.9633,0.0225,89.8234,58.7812,0.6143,-0.0002,https://github.com/annashres/CustomerBot/,967
boxes_and_arrows,client-server,entire+,dynamic,TestHaters_ctflow,y,"sub-systems, technologies",general,uni,control_flow,snapshots,y,n,high,n,n,,functional_suitability,TestHaters/ctflow,icons,cypress.io,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0850,0.0140,89.5147,62.2039,0.7569,0.0004,https://github.com/TestHaters/ctflow/,1121
UML,"MVC, clean",entire,static,ballerina-platform_asyncapi-tools,y,"classes, interfaces, functions, layers",general,uni,inheritance,n,y,n,low,n,y,good example of low level UML architecture,maintainability,ballerina-platform/asyncapi-tools,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6870,0.0116,89.8077,62.0468,0.7290,0.0006,https://github.com/ballerina-platform/asyncapi-tools/,1362
boxes_and_arrows,NA,entire,static,Fenkey_irma,n,sub-systems,general,bi,communication,n,y,n,high,n,n,,maintainability,Fenkey/irma,rectangles,NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/Fenkey/irma/,1468
boxes,clean,entire,static,alexandredev3_nodejs-clean-architeture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alexandredev3/nodejs-clean-architeture,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7959,0.0204,87.9690,55.1424,0.5063,-0.0007,https://github.com/alexandredev3/nodejs-clean-architeture/,1065
boxes_and_arrows,event-driven,entire,dynamic,Elkinmt19_feature-hero-ml,y,"DBs, servers, packages",general,uni,data_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Elkinmt19/feature-hero-ml,"rectangles, cylinders, icons","apache, kinesis, aws, snowflake, bigquery, redshift, synapse, google",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2686,0.0137,88.4798,58.9498,0.5799,0.0048,https://github.com/Elkinmt19/feature-hero-ml/,897
boxes,client-server,part,static,mateuseap_apache-airflow,y,sub-systems,general,NA,NA,n,n,n,high,n,n,,maintainability,mateuseap/apache-airflow,rectangles,apache,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.4867,0.0474,88.7041,42.3630,0.2891,0.0024,https://github.com/mateuseap/apache-airflow/,1082
icons_and_arrows,client-server,entire,static,mxaviersmp_spotify-tracker,y,"technologies, APIs",general,bi,communication,n,y,n,high,n,n,,maintainability,mxaviersmp/spotify-tracker,icons,"apache, aws, github",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.0703,0.0125,89.7928,64.1961,0.8321,0.0004,https://github.com/mxaviersmp/spotify-tracker/,1061
UML,NA,part,dynamic,quasirsg_Henry-M3,y,processes,control_flow,uni,control_flow,n,y,n,low,n,n,,functional_suitability,quasirsg/Henry-M3,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7052,0.0130,89.6382,56.8291,0.5954,0.0103,https://github.com/quasirsg/Henry-M3/,705
boxes_and_arrows,pipes-and-filters,part,static,qnib_qframe,y,packages,data_flow,bi,"dependencies, data_flow",n,y,n,medium,n,n,,functional_suitability,qnib/qframe,rectangles,qt,Partially Meets Expectations,Meets Expectations,Partially Meets Expectations,29.6819,0.0328,89.4354,48.4741,0.3760,0.0000,https://github.com/qnib/qframe/,1419
boxes_and_arrows,layered,entire,static,ArnBaudzus_FluxSurfer,y,sub-systems,general,uni,control_flow,text,y,n,high,n,n,,maintainability,ArnBaudzus/FluxSurfer,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,31.0122,0.0281,87.5614,53.6373,0.4787,0.0023,https://github.com/ArnBaudzus/FluxSurfer/,1135
boxes_and_arrows,"SOA, event-driven",entire+,static,swir-rs_swir,y,"technologies, DBs, sub-systems",general,bi,"communication, dependencies",n,y,n,high,n,y,,maintainability,swir-rs/swir,rectangles,"redis, aws, apache, prometheus, nats, jaeger, swir",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,29.7340,0.0326,66.7458,52.3143,0.4124,0.0046,https://github.com/swir-rs/swir/,1034
icons_and_arrows,NA,entire+,dynamic,dspace-group_simphera-reference-architecture-azure,y,"servers, containers","deployment, connectivity",uni,"dependencies, communication",n,y,n,high,n,n,,"interaction_capability, functional_suitability",dspace-group/simphera-reference-architecture-azure,icons,"bastion, azure, nginx, postgresql, kubernetes, simphera",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.3222,0.0121,89.0385,64.1917,0.7586,-0.0008,https://github.com/dspace-group/simphera-reference-architecture-azure/,1089
UML,client-server,part,dynamic,inovex_scrumlr.io,y,"servers, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,inovex/scrumlr.io,"rectangles, ellipses",sql,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6206,0.0132,89.1361,56.0958,0.5102,0.0013,https://github.com/inovex/scrumlr.io/,1359
icons_and_arrows,"client-server, layered",entire+,dynamic,vishipayyallore_blazorwasm-apim-api-sql-redis,y,"APIs, containers, technologies, DBs",control_flow,uni,control_flow,"text, snapshots",y,n,high,n,n,,functional_suitability,vishipayyallore/blazorwasm-apim-api-sql-redis,icons,"azure, blazor, auth0, sql",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0382,0.0112,89.8177,61.4765,0.7072,0.0014,https://github.com/vishipayyallore/blazorwasm-apim-api-sql-redis/,1036
boxes_and_arrows,event-driven,entire,static,orchsym_runtime,y,"sub-systems, DBs",general,uni,"communication, control_flow",n,y,n,high,n,y,"Even when colors are used, the meaning of the colors is not explicit",maintainability,orchsym/runtime,"rectangles, cylinders",apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/orchsym/runtime/,1310
icons_and_arrows,event-driven,part,dynamic,castle-finance_vault-transaction-indexer,y,"DBs, functions",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,castle-finance/vault-transaction-indexer,"icons, 3d",aws,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.3173,0.0121,89.5979,62.3992,0.6760,0.0003,https://github.com/castle-finance/vault-transaction-indexer/,997
boxes_and_arrows,"clean, hexagonal",entire+,static,hex-js_nodejs-hexagonal-boilerplate-ts,n,"sub-systems, layers",general,uni,"dependencies, communication",n,y,y,high,n,n,,maintainability,hex-js/nodejs-hexagonal-boilerplate-ts,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.0991,0.0176,86.2541,57.1134,0.5656,0.0057,https://github.com/hex-js/nodejs-hexagonal-boilerplate-ts/,1098
icons_and_arrows,client-server,entire+,static,NodleCode_n1,y,"servers, clients",deployment,bi,communication,n,y,n,high,n,n,,flexibility,NodleCode/n1,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3561,0.0171,89.5219,57.0463,0.5955,-0.0005,https://github.com/NodleCode/n1/,1285
boxes_and_arrows,NA,entire,static,ZID-Automat_Controller-ZIDAutomat,n,"sub-systems, APIs",general,no,NA,n,y,n,high,n,n,,maintainability,ZID-Automat/Controller-ZIDAutomat,"rectangles, ellipses",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9522,0.0142,86.4263,57.7212,0.7372,-0.0023,https://github.com/ZID-Automat/Controller-ZIDAutomat/,985
icons_and_arrows,NA,entire,dynamic,DJMcK_aws-lake-training,y,technologies,control_flow,uni,control_flow,n,y,n,medium,n,y,,"functional_suitability, maintainability",DJMcK/aws-lake-training,icons,aws,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.5809,0.0118,89.4468,62.8801,0.6353,-0.0001,https://github.com/DJMcK/aws-lake-training/,1287
boxes_and_arrows,NA,entire,static,nforge_devnote,y,"packages, sub-systems, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,nforge/devnote,rectangles,javascript,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.6955,0.0146,88.9268,57.4827,0.5332,-0.0047,https://github.com/nforge/devnote/,1077
boxes_and_arrows,NA,part,dynamic,opstree_OT-Microservices-Training,y,"classes, DBs, sub-systems",control_flow,uni,data_flow,n,y,n,high,n,n,"The lack of a legen makes connector nature much harder to understand (e.g., what does a dashed line stand for?)","functional_suitability, maintainability",opstree/OT-Microservices-Training,"rectangles, cylinders, icons","go, java, python, elasticsearch, mysql",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.3391,0.0136,89.9088,57.7300,0.4889,-0.0024,https://github.com/opstree/OT-Microservices-Training/,1096
icons_and_arrows,client-server,part,dynamic,victorshinya_serverless-chatbot,y,"DBs, technologies, devices",control_flow,bi,control_flow,n,y,n,high,n,n,,maintainability,victorshinya/serverless-chatbot,"icons, circles",ibm,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.2461,0.0109,89.9361,61.9001,0.7784,0.0016,https://github.com/victorshinya/serverless-chatbot/,674
icons_and_arrows,layered,part,dynamic,itselavia_edge-computing-platform-for-deep-learning-apps,y,"technologies, hardware_components",control_flow,bi,control_flow,text,y,n,high,y,y,,"functional_suitability, maintainability",itselavia/edge-computing-platform-for-deep-learning-apps,"rectangles, icons","kubernetes, react, raspberry, google, java, go, python",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4939,0.0150,89.8859,65.6738,0.7821,0.0030,https://github.com/itselavia/edge-computing-platform-for-deep-learning-apps/,1361
boxes_and_arrows,SOA,part,dynamic,danielfm_prometheus-for-developers,y,"technologies, servers, sub-systems",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, maintainability",danielfm/prometheus-for-developers,"rectangles, icons, squares","prometheus, grafana, kubernetes",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8891,0.0143,88.8852,61.6959,0.6920,0.0022,https://github.com/danielfm/prometheus-for-developers/,638
icons_and_arrows,SOA,part,dynamic,alfredcs_immersion_day_labs,y,"technologies, servers, clients",deployment,uni,control_flow,n,y,n,high,n,n,,performance_efficiency,alfredcs/immersion_day_labs,"rectangles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3448,0.0152,89.5283,58.5871,0.6032,0.0012,https://github.com/alfredcs/immersion_day_labs/,1014
icons_and_arrows,"client-server, publish-subscribe, SOA",entire,static,GoogleCloudPlatform_datacatalog-tag-engine,y,"clients, technologies, functions",deployment,uni,control_flow,n,y,n,high,n,n,,"flexibility, performance_efficiency",GoogleCloudPlatform/datacatalog-tag-engine,"icons, rectangles",bigquery,,,,NA,NA,NA,NA,NA,NA,https://github.com/GoogleCloudPlatform/datacatalog-tag-engine/,972
icons_and_arrows,client-server,entire+,dynamic,BoraxTheClean_DevelopmentMachine,y,"clients, servers, technologies",security,uni,control_flow,n,y,n,high,n,n,,security,BoraxTheClean/DevelopmentMachine,"icons, 3d",aws,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.6841,0.0104,89.4134,63.0517,0.6948,0.0009,https://github.com/BoraxTheClean/DevelopmentMachine/,615
boxes_and_arrows,NA,part,static,lubkoKuzenko_FE-Interview-Questions,y,packages,general,uni,dependencies,n,y,n,medium,n,y,manual sketch,maintainability,lubkoKuzenko/FE-Interview-Questions,rectangles,angular,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0862,0.0125,89.9267,57.8441,0.4851,0.0005,https://github.com/lubkoKuzenko/FE-Interview-Questions/,994
boxes_and_arrows,NA,part,dynamic,Luizbrandt_users-crud-salesforce,y,"functions, clients, servers",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Luizbrandt/users-crud-salesforce,rectangles,salesforce,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0846,0.0157,88.3448,54.4308,0.4582,-0.0053,https://github.com/Luizbrandt/users-crud-salesforce/,867
icons_and_arrows,event-driven,part,dynamic,becloudway_serverless-data-pipeline,y,"functions, technologies",control_flow,uni,control_flow,n,y,n,medium,n,n,,"functional_suitability, maintainability",becloudway/serverless-data-pipeline,icons,"aws, slack",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.8515,0.0128,89.7404,61.6832,0.7337,-0.0003,https://github.com/becloudway/serverless-data-pipeline/,1356
"boxes_and_arrows, icons_and_arrows",NA,entire+,static,azuregomez_SecurePaaS,y,"sub-systems, DBs, servers","security, connectivity",uni,communication,n,y,y,high,n,y,good example of security view,security,azuregomez/SecurePaaS,"rectangles, icons",sql,,,,NA,NA,NA,NA,NA,NA,https://github.com/azuregomez/securepaas/,742
icons_and_arrows,event-driven,entire+,dynamic,marekq_rss-lambda,n,"functions, clients, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",marekq/rss-lambda,"circles, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,39.4650,0.0106,89.9054,62.4979,0.7223,-0.0019,https://github.com/marekq/rss-lambda/,1157
icons_and_arrows,client-server,entire+,"static, dynamic",Software-Engineering-DHBW_bikeminer,y,"clients, servers, containers",data_flow,uni,data_flow,n,y,n,high,n,y,,"functional_suitability, maintainability",Software-Engineering-DHBW/bikeminer,"rectangles, icons, cylinders",docker,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0081,0.0158,88.6830,61.7940,0.6743,-0.0023,https://github.com/Software-Engineering-DHBW/bikeminer/,1197
boxes,"clean, client-server",entire,static,mincloud1501_MSA_miniProject,y,"clients, servers, containers",deployment,no,dependencies,n,y,n,high,n,y,,maintainability,mincloud1501/MSA_miniProject,circles,docker,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5780,0.0148,89.9235,57.8463,0.6809,-0.0017,https://github.com/mincloud1501/MSA_miniProject/,863
boxes_and_arrows,client-server,entire+,static,pgrignaffini_AlgoCrowd,n,"clients, servers, DBs",general,uni,communication,n,y,n,high,n,y,,maintainability,pgrignaffini/AlgoCrowd,rectangles,blockchain,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.5957,0.0132,88.3977,57.5719,0.5780,0.0016,https://github.com/pgrignaffini/AlgoCrowd/,925
icons_and_arrows,event-driven,entire,dynamic,spagnuolocarmine_serverless-computing-for-iot,y,"devices, hardware_components, DBs, clients",data_flow,uni,data_flow,n,y,n,high,n,n,iot,"functional_suitability, maintainability",spagnuolocarmine/serverless-computing-for-iot,icons,nuclio,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5269,0.0149,89.5798,58.9496,0.6502,-0.0016,https://github.com/spagnuolocarmine/serverless-computing-for-iot/,816
boxes_and_arrows,NA,entire+,dynamic,aurelien-m_raspberrypi-rustpy,y,"devices, hardware_components, clients","deployment, data_flow",uni,data_flow,n,y,y,high,n,y,,maintainability,aurelien-m/raspberrypi-rustpy,"rectangles, icons","python, rust, raspberry",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.4364,0.0239,89.8435,57.1482,0.6856,0.0047,https://github.com/aurelien-m/raspberrypi-rustpy/,1502
boxes_and_arrows,event-driven,entire,static,apache_apisix-dashboard,y,"packages, servers, layers, network_components","deployment, data_flow",uni,data_flow,n,y,n,medium,n,y,,maintainability,apache/apisix-dashboard,rectangles,apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6458,0.0147,89.8163,60.2935,0.6985,0.0005,https://github.com/apache/apisix-dashboard/,1267
boxes_and_arrows,"SOA, client-server",entire,static,EMERIC237_Restaurant-reservation-app,n,"services, packages, DBs, layers","deployment, data_flow",uni,communication,n,y,n,high,n,y,,maintainability,EMERIC237/Restaurant-reservation-app,rectangles,"react, nodejs, postgresql",,,,NA,NA,NA,NA,NA,NA,https://github.com/EMERIC237/Restaurant-reservation-app/,1356
UML,NA,part,dynamic,s-sokolko_smev3_adapter_service,n,"clients, packages",data_flow,bi,communication,n,y,n,high,n,n,,functional_suitability,s-sokolko/smev3_adapter_service,rectangles,mongodb,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.4916,0.0119,89.5835,57.6915,0.5699,0.0034,https://github.com/s-sokolko/smev3_adapter_service/,1016
icons_and_arrows,"client-server, layered",part,dynamic,UoA-eResearch_hub-stack,y,"functions, DBs, sub-systems, technologies",deployment,uni,control_flow,n,y,n,medium,n,y,,maintainability,UoA-eResearch/hub-stack,"rectangles, icons","shibboleth, sentry, google, grafana, aws, elasticsearch, kibana, contentful, python",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8891,0.0161,89.5907,61.1815,0.6725,-0.0037,https://github.com/UoA-eResearch/hub-stack/,1447
boxes_and_arrows,NA,entire,static,rinkako_CStoreDBMS,y,"classes, layers, DBs",general,uni,"inheritance, dependencies",n,y,n,medium,n,y,,maintainability,rinkako/CStoreDBMS,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.3748,0.0170,86.6329,58.5446,0.6525,-0.0047,https://github.com/Rinkako/CStoreDB/,1077
boxes_and_arrows,"client-server, layered",entire+,dynamic,i5ting_stuq-koa,y,"clients, servers, DBs",connectivity,uni,communication,n,y,n,high,n,n,,functional_suitability,i5ting/stuq-koa,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4789,0.0168,89.0435,57.8357,0.6685,-0.0002,https://github.com/i5ting/stuq-koa/,825
icons_and_arrows,event-driven,entire,dynamic,victor369basu_Real-time-stock-market-prediction,n,"DBs, technologies",control_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,victor369basu/Real-time-stock-market-prediction,icons,"mongodb, tensorflow",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4649,0.0150,86.9848,57.1887,0.6067,0.0031,https://github.com/victor369basu/Real-time-stock-market-prediction/,818
icons_and_arrows,SOA,entire,dynamic,IBM_logdna-cos,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBM/logdna-cos,"circles, icons","ibm, nodejs, logdna",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0714,0.0111,89.9269,63.5560,0.7970,-0.0017,https://github.com/IBM/logdna-cos/,697
boxes_and_arrows,NA,part,dynamic,xinsongyan_talos_pal_locomotion_slmc,y,"classes, steps",control_flow,uni,control_flow,n,y,n,medium,n,y,"even if colors are used (for connectors or different elements), what the colors does  never seem to be specified",functional_suitability,xinsongyan/talos_pal_locomotion_slmc,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.0063,0.0178,89.8593,58.8659,0.6378,-0.0007,https://github.com/xinsongyan/talos_pal_locomotion_slmc/,997
boxes_and_arrows,NA,entire,static,FudanOCR_FudanOCR,y,packages,general,bi,dependencies,n,y,n,high,n,n,,maintainability,FudanOCR/FudanOCR,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4030,0.0151,89.8465,59.5471,0.6906,0.0001,https://github.com/FudanOCR/FudanOCR/,1125
boxes_and_arrows,NA,entire+,static,CodisLabs_codis,n,"clients, servers, network_components",deployment,uni,"data_flow, dependencies",n,y,n,high,n,n,,maintainability,CodisLabs/codis,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.7650,0.0145,88.0186,62.8333,0.7504,0.0031,https://github.com/CodisLabs/codis/,1184
boxes_and_arrows,SOA,part,dynamic,vectranetworks_AWS-Traffic-Mirroring-Session-Manager,n,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,,functional_suitability,vectranetworks/AWS-Traffic-Mirroring-Session-Manager,rectangles,aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3165,0.0136,88.4071,57.2429,0.5601,0.0014,https://github.com/vectranetworks/AWS-Traffic-Mirroring-Session-Manager/,801
boxes_and_arrows,smart-contracts,part,static,securesecrets_shadeswap,n,"technologies, packages, classes",general,uni,inheritance,n,y,n,high,n,n,blockchain,maintainability,securesecrets/shadeswap,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.2935,0.0137,88.5037,57.8017,0.5657,-0.0065,https://github.com/securesecrets/shadeswap/,1184
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6392,0.0117,89.9413,63.8710,0.7657,0.0021,https://github.com/Spiderpig86/SmoresUnderflow/,1258
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6392,0.0117,89.9413,63.8710,0.7657,0.0021,https://github.com/Spiderpig86/SmoresUnderflow/,841
icons_and_arrows,client-server,part,dynamic,icoxfog417_karura,y,steps,control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",icoxfog417/karura,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.5865,0.0148,89.4452,60.9238,0.7106,0.0010,https://github.com/icoxfog417/karura/,1067
icons_and_arrows,NA,entire+,dynamic,hypertrack_live-app-android,y,"steps, clients, sub-systems",control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",hypertrack/live-app-android,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.0524,0.0125,89.0587,62.1331,0.7320,0.0008,https://github.com/hypertrack/live-app-android/,841
boxes,layered,entire+,static,yuwen123441_NVMeAutomation,y,sub-systems,general,bi,NA,n,y,n,high,n,n,,maintainability,yuwen123441/NVMeAutomation,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.9498,0.0142,89.9292,57.2888,0.6506,-0.0023,https://github.com/yuwen123441/NVMeAutomation/,863
boxes_and_arrows,layered,entire,static,little-hands_webdbpress-2019-10-ddd,n,"layers, sub-systems",general,uni,dependencies,n,y,n,high,n,n,,maintainability,little-hands/webdbpress-2019-10-ddd,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1083,0.0176,84.3469,61.3837,0.7119,-0.0046,https://github.com/little-hands/webdbpress-2019-10-ddd/,852
icons_and_arrows,"client-server, publish-subscribe",entire+,dynamic,Sanperolo_The-Intelligent-Bike,y,"hardware_components, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,n,iot,compatibility,Sanperolo/The-Intelligent-Bike,icons,"heroku, raspberry, python, django, postgresql, angular, typescript, javascript, html, css",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8600,0.0161,88.4692,63.4123,0.7488,0.0008,https://github.com/Sanperolo/The-Intelligent-Bike/,1110
boxes_and_arrows,NA,entire,static,turkcellcloud_jupyter-openshift,y,"containers, sub-systems, technologies, hardware_components, clients, DBs","deployment, security",bi,data_flow,n,y,n,high,n,y,,security,turkcellcloud/jupyter-openshift,rectangles,"kubernetes, nvidia",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.0163,0.0199,87.5108,56.8251,0.5485,-0.0007,https://github.com/vOrcunus/jupyter-openshift/,1291
