Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,repo_url,summary_token_count,zeroShot_deepseek_LLM_Clarity_Rating,zeroShot_deepseek_LLM_Completeness_Rating,zeroShot_deepseek_LLM_Consistency_Rating,zeroShot_deepseek_PSNR,zeroShot_deepseek_RMSE,zeroShot_deepseek_SAM,zeroShot_deepseek_SRE,zeroShot_deepseek_SSIM,zeroShot_deepseek_UIQ
icons_and_arrows,publish-subscribe,entire+,dynamic,jinnerbichler_flash-home,n,"sub-systems, servers",connectivity,uni,communication,n,y,n,high,n,n,iot,interaction_capability,jinnerbichler/flash-home,icons,NA,https://github.com/jinnerbichler/flash-home/,963,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.4982,0.0596,0.0000,22.2267,0.0124,
UML,MVC,entire,static,OpenPSD_modelbank,n,"packages, classes, data",general,uni,inheritance,n,y,n,medium,n,y,,maintainability,OpenPSD/modelbank,rectangles,NA,https://github.com/OpenPSD/modelbank/,1126,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7645,0.0145,0.0000,58.6032,0.5834,
boxes_and_arrows,NA,entire+,static,minism_hotel,y,"servers, containers",deployment,uni,communication,text,y,n,high,n,n,,"flexibility, performance_efficiency",minism/hotel,rectangles,unity,https://github.com/minism/hotel/,961,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0119,0.0561,0.0000,35.5178,0.0820,
boxes_and_arrows,MVC,entire,dynamic,IBM_kubernetes-storage,y,"APIs, containers","deployment, scheduling",bi,"API_calls, data_flow",n,y,n,high,y,n,,"functional_suitability, performance_efficiency",IBM/kubernetes-storage,rectangles,kubernetes,https://github.com/IBM/kubernetes-storage/,739,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1914,0.0123,0.0000,61.9882,0.7361,
boxes_and_arrows,event-driven,entire+,"static, dynamic",tamu-datathon-org_galaxy,n,"sub-systems, DBs",general,uni,communication,n,y,n,high,n,n,,maintainability,tamu-datathon-org/galaxy,"rectangles, circles","postgresql, mongodb",https://github.com/tamu-datathon-org/galaxy/,688,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.4879,0.0134,0.0000,65.8129,0.8193,
"icons_and_arrows, boxes","event-driven, client-server",entire,dynamic,odh-labs_predictive-maint,y,"containers, sub-systems, technologies",deployment,uni,control_flow,n,y,n,high,n,y,,functional_suitability,odh-labs/predictive-maint,"rectangles, icons","superset, tableau, red_hat, prometheus, aws",https://github.com/odh-labs/predictive-maint/,1296,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2098,0.0154,0.0000,63.5777,0.7542,
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,DehengYang_APRConfig,n,packages,control_flow,uni,control_flow,n,y,n,low,n,y,,functional_suitability,DehengYang/APRConfig,"rectangles, icons",NA,https://github.com/DehengYang/APRConfig/,1336,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.7401,0.0183,0.0000,60.6846,0.6658,
icons_and_arrows,layered,entire+,static,brightzheng100_instana-handson-labs,y,"servers, containers, technologies",deployment,uni,communication,snapshots,y,n,high,n,y,,flexibility,brightzheng100/instana-handson-labs,"rectangles, icons","docker, apache, cassandra, butles, nginx, cockroachdb, kubernetes, spring",https://github.com/brightzheng100/instana-handson-labs/,892,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.9887,0.0563,0.0000,54.8229,0.0208,
boxes,layered,entire,static,inIT-HF_gr-corrsounder,n,"packages, layers",general,bi,NA,n,n,n,high,n,y,,maintainability,inIT-HF/gr-corrsounder,"rectangles, squares",NA,https://github.com/inIT-HF/gr-corrsounder/,1382,,,,NA,NA,NA,NA,NA,NA
icons_and_arrows,MVC,entire+,"static, dynamic",medlab_320-online-prototype,y,sub-systems,general,bi,communication,code_snippet,y,n,medium,n,y,,flexibility,medlab/320-online-prototype,rectangles,NA,https://github.com/medlab/320-online-prototype/,997,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2062,0.0138,0.0000,55.7504,0.5261,
boxes_and_arrows,NA,part,static,annashres_CustomerBot,n,"DBs, sub-systems",data_flow,no,data_flow,n,y,n,high,n,n,manual sketch,maintainability,annashres/CustomerBot,rectangles,microsoft,https://github.com/annashres/CustomerBot/,967,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,28.3027,0.0384,0.0000,56.4250,0.0164,
boxes_and_arrows,client-server,entire+,dynamic,TestHaters_ctflow,y,"sub-systems, technologies",general,uni,control_flow,snapshots,y,n,high,n,n,,functional_suitability,TestHaters/ctflow,icons,cypress.io,https://github.com/TestHaters/ctflow/,1121,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3193,0.0136,0.0000,62.2890,0.7767,
UML,"MVC, clean",entire,static,ballerina-platform_asyncapi-tools,y,"classes, interfaces, functions, layers",general,uni,inheritance,n,y,n,low,n,y,good example of low level UML architecture,maintainability,ballerina-platform/asyncapi-tools,rectangles,NA,https://github.com/ballerina-platform/asyncapi-tools/,1362,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8848,0.0114,0.0000,62.1338,0.7207,
boxes_and_arrows,NA,entire,static,Fenkey_irma,n,sub-systems,general,bi,communication,n,y,n,high,n,n,,maintainability,Fenkey/irma,rectangles,NA,https://github.com/Fenkey/irma/,1468,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0254,0.0157,0.0000,56.5514,0.5915,
boxes,clean,entire,static,alexandredev3_nodejs-clean-architeture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alexandredev3/nodejs-clean-architeture,circles,NA,https://github.com/alexandredev3/nodejs-clean-architeture/,1065,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7545,0.0205,0.0000,55.1198,0.4953,
boxes_and_arrows,event-driven,entire,dynamic,Elkinmt19_feature-hero-ml,y,"DBs, servers, packages",general,uni,data_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Elkinmt19/feature-hero-ml,"rectangles, cylinders, icons","apache, kinesis, aws, snowflake, bigquery, redshift, synapse, google",https://github.com/Elkinmt19/feature-hero-ml/,897,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9976,0.0141,0.0000,58.8149,0.5377,
boxes,client-server,part,static,mateuseap_apache-airflow,y,sub-systems,general,NA,NA,n,n,n,high,n,n,,maintainability,mateuseap/apache-airflow,rectangles,apache,https://github.com/mateuseap/apache-airflow/,1082,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3388,0.0482,0.0000,42.2868,0.2713,
icons_and_arrows,client-server,entire,static,mxaviersmp_spotify-tracker,y,"technologies, APIs",general,bi,communication,n,y,n,high,n,n,,maintainability,mxaviersmp/spotify-tracker,icons,"apache, aws, github",https://github.com/mxaviersmp/spotify-tracker/,1061,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.7661,0.0129,0.0000,64.0344,0.8214,
UML,NA,part,dynamic,quasirsg_Henry-M3,y,processes,control_flow,uni,control_flow,n,y,n,low,n,n,,functional_suitability,quasirsg/Henry-M3,rectangles,NA,https://github.com/quasirsg/Henry-M3/,705,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.6403,0.0131,0.0000,56.7962,0.5907,
boxes_and_arrows,pipes-and-filters,part,static,qnib_qframe,y,packages,data_flow,bi,"dependencies, data_flow",n,y,n,medium,n,n,,functional_suitability,qnib/qframe,rectangles,qt,https://github.com/qnib/qframe/,1419,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.7520,0.0315,0.0000,48.5141,0.3545,
boxes_and_arrows,layered,entire,static,ArnBaudzus_FluxSurfer,y,sub-systems,general,uni,control_flow,text,y,n,high,n,n,,maintainability,ArnBaudzus/FluxSurfer,rectangles,NA,https://github.com/ArnBaudzus/FluxSurfer/,1135,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.8006,0.0452,0.0000,50.3689,0.0176,
boxes_and_arrows,"SOA, event-driven",entire+,static,swir-rs_swir,y,"technologies, DBs, sub-systems",general,bi,"communication, dependencies",n,y,n,high,n,y,,maintainability,swir-rs/swir,rectangles,"redis, aws, apache, prometheus, nats, jaeger, swir",https://github.com/swir-rs/swir/,1034,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,29.7515,0.0325,0.0000,52.3259,0.4112,
icons_and_arrows,NA,entire+,dynamic,dspace-group_simphera-reference-architecture-azure,y,"servers, containers","deployment, connectivity",uni,"dependencies, communication",n,y,n,high,n,n,,"interaction_capability, functional_suitability",dspace-group/simphera-reference-architecture-azure,icons,"bastion, azure, nginx, postgresql, kubernetes, simphera",https://github.com/dspace-group/simphera-reference-architecture-azure/,1089,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6709,0.0116,0.0000,64.3751,0.7989,
UML,client-server,part,dynamic,inovex_scrumlr.io,y,"servers, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,inovex/scrumlr.io,"rectangles, ellipses",sql,https://github.com/inovex/scrumlr.io/,1359,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8554,0.0128,0.0000,56.2211,0.5035,
icons_and_arrows,"client-server, layered",entire+,dynamic,vishipayyallore_blazorwasm-apim-api-sql-redis,y,"APIs, containers, technologies, DBs",control_flow,uni,control_flow,"text, snapshots",y,n,high,n,n,,functional_suitability,vishipayyallore/blazorwasm-apim-api-sql-redis,icons,"azure, blazor, auth0, sql",https://github.com/vishipayyallore/blazorwasm-apim-api-sql-redis/,1036,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0138,0.0111,0.0000,61.4672,0.7075,
boxes_and_arrows,event-driven,entire,static,orchsym_runtime,y,"sub-systems, DBs",general,uni,"communication, control_flow",n,y,n,high,n,y,"Even when colors are used, the meaning of the colors is not explicit",maintainability,orchsym/runtime,"rectangles, cylinders",apache,https://github.com/orchsym/runtime/,1310,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0871,0.0557,0.0000,34.6971,0.0646,
icons_and_arrows,event-driven,part,dynamic,castle-finance_vault-transaction-indexer,y,"DBs, functions",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,castle-finance/vault-transaction-indexer,"icons, 3d",aws,https://github.com/castle-finance/vault-transaction-indexer/,997,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.9735,0.0126,0.0000,62.2290,0.6593,
boxes_and_arrows,"clean, hexagonal",entire+,static,hex-js_nodejs-hexagonal-boilerplate-ts,n,"sub-systems, layers",general,uni,"dependencies, communication",n,y,y,high,n,n,,maintainability,hex-js/nodejs-hexagonal-boilerplate-ts,rectangles,NA,https://github.com/hex-js/nodejs-hexagonal-boilerplate-ts/,1098,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.3276,0.0171,0.0000,57.2289,0.5744,
icons_and_arrows,client-server,entire+,static,NodleCode_n1,y,"servers, clients",deployment,bi,communication,n,y,n,high,n,n,,flexibility,NodleCode/n1,icons,NA,https://github.com/NodleCode/n1/,1285,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1309,0.0156,0.0000,57.4348,0.6657,
boxes_and_arrows,NA,entire,static,ZID-Automat_Controller-ZIDAutomat,n,"sub-systems, APIs",general,no,NA,n,y,n,high,n,n,,maintainability,ZID-Automat/Controller-ZIDAutomat,"rectangles, ellipses",NA,https://github.com/ZID-Automat/Controller-ZIDAutomat/,985,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5111,0.0149,0.0000,57.5010,0.6381,
icons_and_arrows,NA,entire,dynamic,DJMcK_aws-lake-training,y,technologies,control_flow,uni,control_flow,n,y,n,medium,n,y,,"functional_suitability, maintainability",DJMcK/aws-lake-training,icons,aws,https://github.com/DJMcK/aws-lake-training/,1287,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.3528,0.0121,0.0000,62.7625,0.6302,
boxes_and_arrows,NA,entire,static,nforge_devnote,y,"packages, sub-systems, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,nforge/devnote,rectangles,javascript,https://github.com/nforge/devnote/,1077,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.2363,0.0154,0.0000,57.2350,0.4729,
boxes_and_arrows,NA,part,dynamic,opstree_OT-Microservices-Training,y,"classes, DBs, sub-systems",control_flow,uni,data_flow,n,y,n,high,n,n,"The lack of a legen makes connector nature much harder to understand (e.g., what does a dashed line stand for?)","functional_suitability, maintainability",opstree/OT-Microservices-Training,"rectangles, cylinders, icons","go, java, python, elasticsearch, mysql",https://github.com/opstree/OT-Microservices-Training/,1096,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.1887,0.0121,0.0000,58.2311,0.5339,
icons_and_arrows,client-server,part,dynamic,victorshinya_serverless-chatbot,y,"DBs, technologies, devices",control_flow,bi,control_flow,n,y,n,high,n,n,,maintainability,victorshinya/serverless-chatbot,"icons, circles",ibm,https://github.com/victorshinya/serverless-chatbot/,674,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.2429,0.0109,0.0000,61.8977,0.7730,
icons_and_arrows,layered,part,dynamic,itselavia_edge-computing-platform-for-deep-learning-apps,y,"technologies, hardware_components",control_flow,bi,control_flow,text,y,n,high,y,y,,"functional_suitability, maintainability",itselavia/edge-computing-platform-for-deep-learning-apps,"rectangles, icons","kubernetes, react, raspberry, google, java, go, python",https://github.com/itselavia/edge-computing-platform-for-deep-learning-apps/,1361,,,,NA,NA,NA,NA,NA,NA
boxes_and_arrows,SOA,part,dynamic,danielfm_prometheus-for-developers,y,"technologies, servers, sub-systems",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, maintainability",danielfm/prometheus-for-developers,"rectangles, icons, squares","prometheus, grafana, kubernetes",https://github.com/danielfm/prometheus-for-developers/,638,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3516,0.0136,0.0000,61.9298,0.7187,
icons_and_arrows,SOA,part,dynamic,alfredcs_immersion_day_labs,y,"technologies, servers, clients",deployment,uni,control_flow,n,y,n,high,n,n,,performance_efficiency,alfredcs/immersion_day_labs,"rectangles, icons",aws,https://github.com/alfredcs/immersion_day_labs/,1014,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4245,0.0151,0.0000,58.6308,0.6099,
icons_and_arrows,"client-server, publish-subscribe, SOA",entire,static,GoogleCloudPlatform_datacatalog-tag-engine,y,"clients, technologies, functions",deployment,uni,control_flow,n,y,n,high,n,n,,"flexibility, performance_efficiency",GoogleCloudPlatform/datacatalog-tag-engine,"icons, rectangles",bigquery,https://github.com/GoogleCloudPlatform/datacatalog-tag-engine/,972,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.9700,0.0503,0.0000,47.5514,0.2306,
icons_and_arrows,client-server,entire+,dynamic,BoraxTheClean_DevelopmentMachine,y,"clients, servers, technologies",security,uni,control_flow,n,y,n,high,n,n,,security,BoraxTheClean/DevelopmentMachine,"icons, 3d",aws,https://github.com/BoraxTheClean/DevelopmentMachine/,615,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.8920,0.0101,0.0000,63.1547,0.7195,
boxes_and_arrows,NA,part,static,lubkoKuzenko_FE-Interview-Questions,y,packages,general,uni,dependencies,n,y,n,medium,n,y,manual sketch,maintainability,lubkoKuzenko/FE-Interview-Questions,rectangles,angular,https://github.com/lubkoKuzenko/FE-Interview-Questions/,994,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4770,0.0106,0.0000,58.4998,0.4755,
boxes_and_arrows,NA,part,dynamic,Luizbrandt_users-crud-salesforce,y,"functions, clients, servers",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Luizbrandt/users-crud-salesforce,rectangles,salesforce,https://github.com/Luizbrandt/users-crud-salesforce/,867,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2973,0.0150,0.0000,54.5567,0.4698,
icons_and_arrows,event-driven,part,dynamic,becloudway_serverless-data-pipeline,y,"functions, technologies",control_flow,uni,control_flow,n,y,n,medium,n,n,,"functional_suitability, maintainability",becloudway/serverless-data-pipeline,icons,"aws, slack",https://github.com/becloudway/serverless-data-pipeline/,1356,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1013,0.0124,0.0000,61.8136,0.7469,
"boxes_and_arrows, icons_and_arrows",NA,entire+,static,azuregomez_SecurePaaS,y,"sub-systems, DBs, servers","security, connectivity",uni,communication,n,y,y,high,n,y,good example of security view,security,azuregomez/SecurePaaS,"rectangles, icons",sql,https://github.com/azuregomez/securepaas/,742,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,38.8164,0.0114,0.0000,63.4622,0.7886,
icons_and_arrows,event-driven,entire+,dynamic,marekq_rss-lambda,n,"functions, clients, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",marekq/rss-lambda,"circles, icons",aws,https://github.com/marekq/rss-lambda/,1157,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.4466,0.0107,0.0000,62.4884,0.7185,
icons_and_arrows,client-server,entire+,"static, dynamic",Software-Engineering-DHBW_bikeminer,y,"clients, servers, containers",data_flow,uni,data_flow,n,y,n,high,n,y,,"functional_suitability, maintainability",Software-Engineering-DHBW/bikeminer,"rectangles, icons, cylinders",docker,https://github.com/Software-Engineering-DHBW/bikeminer/,1197,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,36.4846,0.0150,0.0000,62.0114,0.7280,
boxes,"clean, client-server",entire,static,mincloud1501_MSA_miniProject,y,"clients, servers, containers",deployment,no,dependencies,n,y,n,high,n,y,,maintainability,mincloud1501/MSA_miniProject,circles,docker,https://github.com/mincloud1501/MSA_miniProject/,863,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2227,0.0149,0.0000,57.5585,0.6689,
boxes_and_arrows,client-server,entire+,static,pgrignaffini_AlgoCrowd,n,"clients, servers, DBs",general,uni,communication,n,y,n,high,n,y,,maintainability,pgrignaffini/AlgoCrowd,rectangles,blockchain,https://github.com/pgrignaffini/AlgoCrowd/,925,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8357,0.0114,0.0000,58.1917,0.6386,
icons_and_arrows,event-driven,entire,dynamic,spagnuolocarmine_serverless-computing-for-iot,y,"devices, hardware_components, DBs, clients",data_flow,uni,data_flow,n,y,n,high,n,n,iot,"functional_suitability, maintainability",spagnuolocarmine/serverless-computing-for-iot,icons,nuclio,https://github.com/spagnuolocarmine/serverless-computing-for-iot/,816,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.7257,0.0146,0.0000,59.0498,0.6738,
boxes_and_arrows,NA,entire+,dynamic,aurelien-m_raspberrypi-rustpy,y,"devices, hardware_components, clients","deployment, data_flow",uni,data_flow,n,y,y,high,n,y,,maintainability,aurelien-m/raspberrypi-rustpy,"rectangles, icons","python, rust, raspberry",https://github.com/aurelien-m/raspberrypi-rustpy/,1502,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.3806,0.0238,0.0000,57.1214,0.6784,
boxes_and_arrows,event-driven,entire,static,apache_apisix-dashboard,y,"packages, servers, layers, network_components","deployment, data_flow",uni,data_flow,n,y,n,medium,n,y,,maintainability,apache/apisix-dashboard,rectangles,apache,https://github.com/apache/apisix-dashboard/,1267,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2620,0.0137,0.0000,60.5799,0.7032,
boxes_and_arrows,"SOA, client-server",entire,static,EMERIC237_Restaurant-reservation-app,n,"services, packages, DBs, layers","deployment, data_flow",uni,communication,n,y,n,high,n,y,,maintainability,EMERIC237/Restaurant-reservation-app,rectangles,"react, nodejs, postgresql",https://github.com/EMERIC237/Restaurant-reservation-app/,1356,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,31.2265,0.0275,0.0000,51.1152,0.4166,
UML,NA,part,dynamic,s-sokolko_smev3_adapter_service,n,"clients, packages",data_flow,bi,communication,n,y,n,high,n,n,,functional_suitability,s-sokolko/smev3_adapter_service,rectangles,mongodb,https://github.com/s-sokolko/smev3_adapter_service/,1016,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.8244,0.0114,0.0000,57.8574,0.5884,
icons_and_arrows,"client-server, layered",part,dynamic,UoA-eResearch_hub-stack,y,"functions, DBs, sub-systems, technologies",deployment,uni,control_flow,n,y,n,medium,n,y,,maintainability,UoA-eResearch/hub-stack,"rectangles, icons","shibboleth, sentry, google, grafana, aws, elasticsearch, kibana, contentful, python",https://github.com/UoA-eResearch/hub-stack/,1447,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4642,0.0149,0.0000,61.5118,0.6713,
boxes_and_arrows,NA,entire,static,rinkako_CStoreDBMS,y,"classes, layers, DBs",general,uni,"inheritance, dependencies",n,y,n,medium,n,y,,maintainability,rinkako/CStoreDBMS,rectangles,NA,https://github.com/Rinkako/CStoreDB/,1077,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,35.2517,0.0171,0.0000,58.4616,0.6196,
boxes_and_arrows,"client-server, layered",entire+,dynamic,i5ting_stuq-koa,y,"clients, servers, DBs",connectivity,uni,communication,n,y,n,high,n,n,,functional_suitability,i5ting/stuq-koa,rectangles,NA,https://github.com/i5ting/stuq-koa/,825,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.5312,0.0165,0.0000,57.8628,0.6808,
icons_and_arrows,event-driven,entire,dynamic,victor369basu_Real-time-stock-market-prediction,n,"DBs, technologies",control_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,victor369basu/Real-time-stock-market-prediction,icons,"mongodb, tensorflow",https://github.com/victor369basu/Real-time-stock-market-prediction/,818,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4565,0.0150,0.0000,57.1848,0.6245,
icons_and_arrows,SOA,entire,dynamic,IBM_logdna-cos,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBM/logdna-cos,"circles, icons","ibm, nodejs, logdna",https://github.com/IBM/logdna-cos/,697,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.4607,0.0119,0.0000,63.2308,0.7708,
boxes_and_arrows,NA,part,dynamic,xinsongyan_talos_pal_locomotion_slmc,y,"classes, steps",control_flow,uni,control_flow,n,y,n,medium,n,y,"even if colors are used (for connectors or different elements), what the colors does  never seem to be specified",functional_suitability,xinsongyan/talos_pal_locomotion_slmc,rectangles,NA,https://github.com/xinsongyan/talos_pal_locomotion_slmc/,997,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.9961,0.0168,0.0000,58.8798,0.6400,
boxes_and_arrows,NA,entire,static,FudanOCR_FudanOCR,y,packages,general,bi,dependencies,n,y,n,high,n,n,,maintainability,FudanOCR/FudanOCR,rectangles,NA,https://github.com/FudanOCR/FudanOCR/,1125,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2274,0.0152,0.0000,59.4695,0.6960,
boxes_and_arrows,NA,entire+,static,CodisLabs_codis,n,"clients, servers, network_components",deployment,uni,"data_flow, dependencies",n,y,n,high,n,n,,maintainability,CodisLabs/codis,rectangles,NA,https://github.com/CodisLabs/codis/,1184,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9074,0.0113,0.0000,63.8852,0.8106,
boxes_and_arrows,SOA,part,dynamic,vectranetworks_AWS-Traffic-Mirroring-Session-Manager,n,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,,functional_suitability,vectranetworks/AWS-Traffic-Mirroring-Session-Manager,rectangles,aws,https://github.com/vectranetworks/AWS-Traffic-Mirroring-Session-Manager/,801,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1283,0.0139,0.0000,57.1439,0.5506,
boxes_and_arrows,smart-contracts,part,static,securesecrets_shadeswap,n,"technologies, packages, classes",general,uni,inheritance,n,y,n,high,n,n,blockchain,maintainability,securesecrets/shadeswap,rectangles,NA,https://github.com/securesecrets/shadeswap/,1184,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2681,0.0122,0.0000,58.2777,0.5960,
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",https://github.com/Spiderpig86/SmoresUnderflow/,1258,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.5001,0.0106,0.0000,64.3037,0.7841,
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",https://github.com/Spiderpig86/SmoresUnderflow/,841,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.5001,0.0106,0.0000,64.3037,0.7841,
icons_and_arrows,client-server,part,dynamic,icoxfog417_karura,y,steps,control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",icoxfog417/karura,icons,NA,https://github.com/icoxfog417/karura/,1067,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5733,0.0148,0.0000,60.9165,0.7217,
icons_and_arrows,NA,entire+,dynamic,hypertrack_live-app-android,y,"steps, clients, sub-systems",control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",hypertrack/live-app-android,icons,NA,https://github.com/hypertrack/live-app-android/,841,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2695,0.0122,0.0000,62.2478,0.7419,
boxes,layered,entire+,static,yuwen123441_NVMeAutomation,y,sub-systems,general,bi,NA,n,y,n,high,n,n,,maintainability,yuwen123441/NVMeAutomation,rectangles,NA,https://github.com/yuwen123441/NVMeAutomation/,863,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0713,0.0140,0.0000,57.3453,0.6162,
boxes_and_arrows,layered,entire,static,little-hands_webdbpress-2019-10-ddd,n,"layers, sub-systems",general,uni,dependencies,n,y,n,high,n,n,,maintainability,little-hands/webdbpress-2019-10-ddd,rectangles,NA,https://github.com/little-hands/webdbpress-2019-10-ddd/,852,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.9437,0.0179,0.0000,61.2985,0.6884,
icons_and_arrows,"client-server, publish-subscribe",entire+,dynamic,Sanperolo_The-Intelligent-Bike,y,"hardware_components, servers, technologies, clients",deployment,uni,data_flow,n,y,n,high,n,n,iot,compatibility,Sanperolo/The-Intelligent-Bike,icons,"heroku, raspberry, python, django, postgresql, angular, typescript, javascript, html, css",https://github.com/Sanperolo/The-Intelligent-Bike/,1110,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9031,0.0160,0.0000,63.4275,0.7502,
