Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,fewShot_gpt_LLM_Clarity_Rating,fewShot_gpt_LLM_Completeness_Rating,fewShot_gpt_LLM_Consistency_Rating,fewShot_gpt_PSNR,fewShot_gpt_RMSE,fewShot_gpt_SAM,fewShot_gpt_SRE,fewShot_gpt_SSIM,fewShot_gpt_UIQ,repo_url,summary_token_count
icons_and_arrows,publish-subscribe,entire+,dynamic,jinnerbichler_flash-home,n,"sub-systems, servers",connectivity,uni,communication,n,y,n,high,n,n,iot,interaction_capability,jinnerbichler/flash-home,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,24.5533,0.0592,5.0759,22.2496,0.0120,-0.0001,https://github.com/jinnerbichler/flash-home/,963
UML,MVC,entire,static,OpenPSD_modelbank,n,"packages, classes, data",general,uni,inheritance,n,y,n,medium,n,y,,maintainability,OpenPSD/modelbank,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.3399,0.0152,87.5253,58.3881,0.5507,-0.0010,https://github.com/OpenPSD/modelbank/,1126
boxes_and_arrows,NA,entire+,static,minism_hotel,y,"servers, containers",deployment,uni,communication,text,y,n,high,n,n,,"flexibility, performance_efficiency",minism/hotel,rectangles,unity,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.0107,0.0562,12.9157,35.5073,0.0798,-0.0061,https://github.com/minism/hotel/,961
boxes_and_arrows,MVC,entire,dynamic,IBM_kubernetes-storage,y,"APIs, containers","deployment, scheduling",bi,"API_calls, data_flow",n,y,n,high,y,n,,"functional_suitability, performance_efficiency",IBM/kubernetes-storage,rectangles,kubernetes,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5981,0.0132,89.7407,61.6785,0.7090,0.0028,https://github.com/IBM/kubernetes-storage/,739
boxes_and_arrows,event-driven,entire+,"static, dynamic",tamu-datathon-org_galaxy,n,"sub-systems, DBs",general,uni,communication,n,y,n,high,n,n,,maintainability,tamu-datathon-org/galaxy,"rectangles, circles","postgresql, mongodb",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,37.2147,0.0138,87.7719,65.6846,0.8253,-0.0024,https://github.com/tamu-datathon-org/galaxy/,688
"icons_and_arrows, boxes","event-driven, client-server",entire,dynamic,odh-labs_predictive-maint,y,"containers, sub-systems, technologies",deployment,uni,control_flow,n,y,n,high,n,y,,functional_suitability,odh-labs/predictive-maint,"rectangles, icons","superset, tableau, red_hat, prometheus, aws",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.3139,0.0172,88.8112,63.1435,0.7395,-0.0009,https://github.com/odh-labs/predictive-maint/,1296
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,DehengYang_APRConfig,n,packages,control_flow,uni,control_flow,n,y,n,low,n,y,,functional_suitability,DehengYang/APRConfig,"rectangles, icons",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.4720,0.0189,85.0966,60.5473,0.6682,-0.0007,https://github.com/DehengYang/APRConfig/,1336
icons_and_arrows,layered,entire+,static,brightzheng100_instana-handson-labs,y,"servers, containers, technologies",deployment,uni,communication,snapshots,y,n,high,n,y,,flexibility,brightzheng100/instana-handson-labs,"rectangles, icons","docker, apache, cassandra, butles, nginx, cockroachdb, kubernetes, spring",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9796,0.0159,88.6644,60.3070,0.6107,-0.0003,https://github.com/brightzheng100/instana-handson-labs/,892
boxes,layered,entire,static,inIT-HF_gr-corrsounder,n,"packages, layers",general,bi,NA,n,n,n,high,n,y,,maintainability,inIT-HF/gr-corrsounder,"rectangles, squares",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.5942,0.0235,83.6873,53.1743,0.3199,0.0116,https://github.com/inIT-HF/gr-corrsounder/,1382
icons_and_arrows,MVC,entire+,"static, dynamic",medlab_320-online-prototype,y,sub-systems,general,bi,communication,code_snippet,y,n,medium,n,y,,flexibility,medlab/320-online-prototype,rectangles,NA,,,,NA,NA,NA,NA,NA,NA,https://github.com/medlab/320-online-prototype/,997
boxes_and_arrows,NA,part,static,annashres_CustomerBot,n,"DBs, sub-systems",data_flow,no,data_flow,n,y,n,high,n,n,manual sketch,maintainability,annashres/CustomerBot,rectangles,microsoft,,,,NA,NA,NA,NA,NA,NA,https://github.com/annashres/CustomerBot/,967
boxes_and_arrows,client-server,entire+,dynamic,TestHaters_ctflow,y,"sub-systems, technologies",general,uni,control_flow,snapshots,y,n,high,n,n,,functional_suitability,TestHaters/ctflow,icons,cypress.io,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2096,0.0138,89.4895,62.2664,0.7887,0.0004,https://github.com/TestHaters/ctflow/,1121
UML,"MVC, clean",entire,static,ballerina-platform_asyncapi-tools,y,"classes, interfaces, functions, layers",general,uni,inheritance,n,y,n,low,n,y,good example of low level UML architecture,maintainability,ballerina-platform/asyncapi-tools,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6991,0.0116,89.7778,62.0466,0.7122,-0.0004,https://github.com/ballerina-platform/asyncapi-tools/,1362
boxes_and_arrows,NA,entire,static,Fenkey_irma,n,sub-systems,general,bi,communication,n,y,n,high,n,n,,maintainability,Fenkey/irma,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8965,0.0160,87.0735,56.4877,0.5728,0.0020,https://github.com/Fenkey/irma/,1468
boxes,clean,entire,static,alexandredev3_nodejs-clean-architeture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alexandredev3/nodejs-clean-architeture,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.6413,0.0208,87.9149,55.0641,0.4522,-0.0030,https://github.com/alexandredev3/nodejs-clean-architeture/,1065
boxes_and_arrows,event-driven,entire,dynamic,Elkinmt19_feature-hero-ml,y,"DBs, servers, packages",general,uni,data_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Elkinmt19/feature-hero-ml,"rectangles, cylinders, icons","apache, kinesis, aws, snowflake, bigquery, redshift, synapse, google",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1213,0.0156,88.3423,58.3761,0.5595,0.0065,https://github.com/Elkinmt19/feature-hero-ml/,897
boxes,client-server,part,static,mateuseap_apache-airflow,y,sub-systems,general,NA,NA,n,n,n,high,n,n,,maintainability,mateuseap/apache-airflow,rectangles,apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.3212,0.0483,88.7133,42.2814,0.3016,0.0005,https://github.com/mateuseap/apache-airflow/,1082
icons_and_arrows,client-server,entire,static,mxaviersmp_spotify-tracker,y,"technologies, APIs",general,bi,communication,n,y,n,high,n,n,,maintainability,mxaviersmp/spotify-tracker,icons,"apache, aws, github",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.6907,0.0130,89.7794,64.0028,0.8166,0.0005,https://github.com/mxaviersmp/spotify-tracker/,1061
UML,NA,part,dynamic,quasirsg_Henry-M3,y,processes,control_flow,uni,control_flow,n,y,n,low,n,n,,functional_suitability,quasirsg/Henry-M3,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.9848,0.0142,89.5919,56.4693,0.5258,-0.0020,https://github.com/quasirsg/Henry-M3/,705
boxes_and_arrows,pipes-and-filters,part,static,qnib_qframe,y,packages,data_flow,bi,"dependencies, data_flow",n,y,n,medium,n,n,,functional_suitability,qnib/qframe,rectangles,qt,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,29.6877,0.0328,89.3870,48.4658,0.3353,0.0028,https://github.com/qnib/qframe/,1419
boxes_and_arrows,layered,entire,static,ArnBaudzus_FluxSurfer,y,sub-systems,general,uni,control_flow,text,y,n,high,n,n,,maintainability,ArnBaudzus/FluxSurfer,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.3765,0.0303,87.5373,53.3779,0.3957,-0.0006,https://github.com/ArnBaudzus/FluxSurfer/,1135
boxes_and_arrows,"SOA, event-driven",entire+,static,swir-rs_swir,y,"technologies, DBs, sub-systems",general,bi,"communication, dependencies",n,y,n,high,n,y,,maintainability,swir-rs/swir,rectangles,"redis, aws, apache, prometheus, nats, jaeger, swir",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,29.7859,0.0324,66.7346,52.3402,0.4078,-0.0010,https://github.com/swir-rs/swir/,1034
icons_and_arrows,NA,entire+,dynamic,dspace-group_simphera-reference-architecture-azure,y,"servers, containers","deployment, connectivity",uni,"dependencies, communication",n,y,n,high,n,n,,"interaction_capability, functional_suitability",dspace-group/simphera-reference-architecture-azure,icons,"bastion, azure, nginx, postgresql, kubernetes, simphera",,,,NA,NA,NA,NA,NA,NA,https://github.com/dspace-group/simphera-reference-architecture-azure/,1089
UML,client-server,part,dynamic,inovex_scrumlr.io,y,"servers, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,inovex/scrumlr.io,"rectangles, ellipses",sql,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8188,0.0129,89.1250,56.1972,0.5259,0.0153,https://github.com/inovex/scrumlr.io/,1359
icons_and_arrows,"client-server, layered",entire+,dynamic,vishipayyallore_blazorwasm-apim-api-sql-redis,y,"APIs, containers, technologies, DBs",control_flow,uni,control_flow,"text, snapshots",y,n,high,n,n,,functional_suitability,vishipayyallore/blazorwasm-apim-api-sql-redis,icons,"azure, blazor, auth0, sql",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2164,0.0123,89.7861,61.0374,0.6938,-0.0011,https://github.com/vishipayyallore/blazorwasm-apim-api-sql-redis/,1036
boxes_and_arrows,event-driven,entire,static,orchsym_runtime,y,"sub-systems, DBs",general,uni,"communication, control_flow",n,y,n,high,n,y,"Even when colors are used, the meaning of the colors is not explicit",maintainability,orchsym/runtime,"rectangles, cylinders",apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/orchsym/runtime/,1310
icons_and_arrows,event-driven,part,dynamic,castle-finance_vault-transaction-indexer,y,"DBs, functions",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,castle-finance/vault-transaction-indexer,"icons, 3d",aws,,,,NA,NA,NA,NA,NA,NA,https://github.com/castle-finance/vault-transaction-indexer/,997
boxes_and_arrows,"clean, hexagonal",entire+,static,hex-js_nodejs-hexagonal-boilerplate-ts,n,"sub-systems, layers",general,uni,"dependencies, communication",n,y,y,high,n,n,,maintainability,hex-js/nodejs-hexagonal-boilerplate-ts,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.8520,0.0181,86.2907,56.9904,0.5244,-0.0012,https://github.com/hex-js/nodejs-hexagonal-boilerplate-ts/,1098
icons_and_arrows,client-server,entire+,static,NodleCode_n1,y,"servers, clients",deployment,bi,communication,n,y,n,high,n,n,,flexibility,NodleCode/n1,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.7596,0.0163,89.5941,57.2478,0.6741,0.0002,https://github.com/NodleCode/n1/,1285
boxes_and_arrows,NA,entire,static,ZID-Automat_Controller-ZIDAutomat,n,"sub-systems, APIs",general,no,NA,n,y,n,high,n,n,,maintainability,ZID-Automat/Controller-ZIDAutomat,"rectangles, ellipses",NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0330,0.0158,86.3321,57.2618,0.6363,-0.0010,https://github.com/ZID-Automat/Controller-ZIDAutomat/,985
icons_and_arrows,NA,entire,dynamic,DJMcK_aws-lake-training,y,technologies,control_flow,uni,control_flow,n,y,n,medium,n,y,,"functional_suitability, maintainability",DJMcK/aws-lake-training,icons,aws,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.2702,0.0122,89.4307,62.7206,0.6686,0.0018,https://github.com/DJMcK/aws-lake-training/,1287
boxes_and_arrows,NA,entire,static,nforge_devnote,y,"packages, sub-systems, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,nforge/devnote,rectangles,javascript,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.2909,0.0153,88.8989,57.2660,0.4971,0.0070,https://github.com/nforge/devnote/,1077
boxes_and_arrows,NA,part,dynamic,opstree_OT-Microservices-Training,y,"classes, DBs, sub-systems",control_flow,uni,data_flow,n,y,n,high,n,n,"The lack of a legen makes connector nature much harder to understand (e.g., what does a dashed line stand for?)","functional_suitability, maintainability",opstree/OT-Microservices-Training,"rectangles, cylinders, icons","go, java, python, elasticsearch, mysql",Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.9389,0.0142,89.9003,57.5460,0.6042,-0.0008,https://github.com/opstree/OT-Microservices-Training/,1096
icons_and_arrows,client-server,part,dynamic,victorshinya_serverless-chatbot,y,"DBs, technologies, devices",control_flow,bi,control_flow,n,y,n,high,n,n,,maintainability,victorshinya/serverless-chatbot,"icons, circles",ibm,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.6806,0.0116,89.8914,61.6187,0.7669,-0.0013,https://github.com/victorshinya/serverless-chatbot/,674
icons_and_arrows,layered,part,dynamic,itselavia_edge-computing-platform-for-deep-learning-apps,y,"technologies, hardware_components",control_flow,bi,control_flow,text,y,n,high,y,y,,"functional_suitability, maintainability",itselavia/edge-computing-platform-for-deep-learning-apps,"rectangles, icons","kubernetes, react, raspberry, google, java, go, python",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.5575,0.0149,89.8550,65.7053,0.7922,-0.0012,https://github.com/itselavia/edge-computing-platform-for-deep-learning-apps/,1361
boxes_and_arrows,SOA,part,dynamic,danielfm_prometheus-for-developers,y,"technologies, servers, sub-systems",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, maintainability",danielfm/prometheus-for-developers,"rectangles, icons, squares","prometheus, grafana, kubernetes",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.5944,0.0166,88.8583,61.1999,0.6994,0.0018,https://github.com/danielfm/prometheus-for-developers/,638
icons_and_arrows,SOA,part,dynamic,alfredcs_immersion_day_labs,y,"technologies, servers, clients",deployment,uni,control_flow,n,y,n,high,n,n,,performance_efficiency,alfredcs/immersion_day_labs,"rectangles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1980,0.0155,89.5205,58.5151,0.6058,-0.0025,https://github.com/alfredcs/immersion_day_labs/,1014
icons_and_arrows,"client-server, publish-subscribe, SOA",entire,static,GoogleCloudPlatform_datacatalog-tag-engine,y,"clients, technologies, functions",deployment,uni,control_flow,n,y,n,high,n,n,,"flexibility, performance_efficiency",GoogleCloudPlatform/datacatalog-tag-engine,"icons, rectangles",bigquery,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.0854,0.0496,29.9888,47.6002,0.2295,0.0016,https://github.com/GoogleCloudPlatform/datacatalog-tag-engine/,972
icons_and_arrows,client-server,entire+,dynamic,BoraxTheClean_DevelopmentMachine,y,"clients, servers, technologies",security,uni,control_flow,n,y,n,high,n,n,,security,BoraxTheClean/DevelopmentMachine,"icons, 3d",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.9954,0.0112,89.4108,62.7526,0.7344,0.0006,https://github.com/BoraxTheClean/DevelopmentMachine/,615
boxes_and_arrows,NA,part,static,lubkoKuzenko_FE-Interview-Questions,y,packages,general,uni,dependencies,n,y,n,medium,n,y,manual sketch,maintainability,lubkoKuzenko/FE-Interview-Questions,rectangles,angular,,,,NA,NA,NA,NA,NA,NA,https://github.com/lubkoKuzenko/FE-Interview-Questions/,994
boxes_and_arrows,NA,part,dynamic,Luizbrandt_users-crud-salesforce,y,"functions, clients, servers",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Luizbrandt/users-crud-salesforce,rectangles,salesforce,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8703,0.0161,88.3362,54.3466,0.4868,-0.0045,https://github.com/Luizbrandt/users-crud-salesforce/,867
icons_and_arrows,event-driven,part,dynamic,becloudway_serverless-data-pipeline,y,"functions, technologies",control_flow,uni,control_flow,n,y,n,medium,n,n,,"functional_suitability, maintainability",becloudway/serverless-data-pipeline,icons,"aws, slack",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.4567,0.0134,89.7110,61.4841,0.7330,-0.0006,https://github.com/becloudway/serverless-data-pipeline/,1356
"boxes_and_arrows, icons_and_arrows",NA,entire+,static,azuregomez_SecurePaaS,y,"sub-systems, DBs, servers","security, connectivity",uni,communication,n,y,y,high,n,y,good example of security view,security,azuregomez/SecurePaaS,"rectangles, icons",sql,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.8207,0.0115,89.7351,63.4778,0.7915,0.0004,https://github.com/azuregomez/securepaas/,742
icons_and_arrows,event-driven,entire+,dynamic,marekq_rss-lambda,n,"functions, clients, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",marekq/rss-lambda,"circles, icons",aws,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.7464,0.0145,89.9073,61.2655,0.6980,0.0011,https://github.com/marekq/rss-lambda/,1157
icons_and_arrows,client-server,entire+,"static, dynamic",Software-Engineering-DHBW_bikeminer,y,"clients, servers, containers",data_flow,uni,data_flow,n,y,n,high,n,y,,"functional_suitability, maintainability",Software-Engineering-DHBW/bikeminer,"rectangles, icons, cylinders",docker,,,,NA,NA,NA,NA,NA,NA,https://github.com/Software-Engineering-DHBW/bikeminer/,1197
boxes,"clean, client-server",entire,static,mincloud1501_MSA_miniProject,y,"clients, servers, containers",deployment,no,dependencies,n,y,n,high,n,y,,maintainability,mincloud1501/MSA_miniProject,circles,docker,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.8344,0.0162,89.9084,57.2977,0.6762,0.0012,https://github.com/mincloud1501/MSA_miniProject/,863
boxes_and_arrows,client-server,entire+,static,pgrignaffini_AlgoCrowd,n,"clients, servers, DBs",general,uni,communication,n,y,n,high,n,y,,maintainability,pgrignaffini/AlgoCrowd,rectangles,blockchain,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1604,0.0139,88.2742,57.3543,0.5942,-0.0027,https://github.com/pgrignaffini/AlgoCrowd/,925
icons_and_arrows,event-driven,entire,dynamic,spagnuolocarmine_serverless-computing-for-iot,y,"devices, hardware_components, DBs, clients",data_flow,uni,data_flow,n,y,n,high,n,n,iot,"functional_suitability, maintainability",spagnuolocarmine/serverless-computing-for-iot,icons,nuclio,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.9540,0.0179,89.5210,58.2232,0.5931,-0.0039,https://github.com/spagnuolocarmine/serverless-computing-for-iot/,816
boxes_and_arrows,NA,entire+,dynamic,aurelien-m_raspberrypi-rustpy,y,"devices, hardware_components, clients","deployment, data_flow",uni,data_flow,n,y,y,high,n,y,,maintainability,aurelien-m/raspberrypi-rustpy,"rectangles, icons","python, rust, raspberry",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,32.2977,0.0243,89.8317,57.0730,0.6982,-0.0001,https://github.com/aurelien-m/raspberrypi-rustpy/,1502
boxes_and_arrows,event-driven,entire,static,apache_apisix-dashboard,y,"packages, servers, layers, network_components","deployment, data_flow",uni,data_flow,n,y,n,medium,n,y,,maintainability,apache/apisix-dashboard,rectangles,apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8094,0.0144,89.7965,60.3708,0.6462,-0.0004,https://github.com/apache/apisix-dashboard/,1267
boxes_and_arrows,"SOA, client-server",entire,static,EMERIC237_Restaurant-reservation-app,n,"services, packages, DBs, layers","deployment, data_flow",uni,communication,n,y,n,high,n,y,,maintainability,EMERIC237/Restaurant-reservation-app,rectangles,"react, nodejs, postgresql",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,31.2253,0.0275,78.3627,51.1150,0.4375,0.0013,https://github.com/EMERIC237/Restaurant-reservation-app/,1356
UML,NA,part,dynamic,s-sokolko_smev3_adapter_service,n,"clients, packages",data_flow,bi,communication,n,y,n,high,n,n,,functional_suitability,s-sokolko/smev3_adapter_service,rectangles,mongodb,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.9758,0.0113,89.5472,57.9325,0.6350,-0.0012,https://github.com/s-sokolko/smev3_adapter_service/,1016
icons_and_arrows,"client-server, layered",part,dynamic,UoA-eResearch_hub-stack,y,"functions, DBs, sub-systems, technologies",deployment,uni,control_flow,n,y,n,medium,n,y,,maintainability,UoA-eResearch/hub-stack,"rectangles, icons","shibboleth, sentry, google, grafana, aws, elasticsearch, kibana, contentful, python",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1904,0.0155,89.5263,61.3392,0.6981,0.0018,https://github.com/UoA-eResearch/hub-stack/,1447
boxes_and_arrows,NA,entire,static,rinkako_CStoreDBMS,y,"classes, layers, DBs",general,uni,"inheritance, dependencies",n,y,n,medium,n,y,,maintainability,rinkako/CStoreDBMS,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.4068,0.0170,86.6400,58.5584,0.6636,0.0031,https://github.com/Rinkako/CStoreDB/,1077
boxes_and_arrows,"client-server, layered",entire+,dynamic,i5ting_stuq-koa,y,"clients, servers, DBs",connectivity,uni,communication,n,y,n,high,n,n,,functional_suitability,i5ting/stuq-koa,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4480,0.0169,89.0236,57.8188,0.6233,0.0019,https://github.com/i5ting/stuq-koa/,825
icons_and_arrows,event-driven,entire,dynamic,victor369basu_Real-time-stock-market-prediction,n,"DBs, technologies",control_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,victor369basu/Real-time-stock-market-prediction,icons,"mongodb, tensorflow",Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,35.5901,0.0166,86.9404,56.7613,0.5881,0.0007,https://github.com/victor369basu/Real-time-stock-market-prediction/,818
icons_and_arrows,SOA,entire,dynamic,IBM_logdna-cos,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBM/logdna-cos,"circles, icons","ibm, nodejs, logdna",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.4786,0.0106,89.8857,63.7591,0.8292,-0.0011,https://github.com/IBM/logdna-cos/,697
boxes_and_arrows,NA,part,dynamic,xinsongyan_talos_pal_locomotion_slmc,y,"classes, steps",control_flow,uni,control_flow,n,y,n,medium,n,y,"even if colors are used (for connectors or different elements), what the colors does  never seem to be specified",functional_suitability,xinsongyan/talos_pal_locomotion_slmc,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.7603,0.0183,89.7261,58.5902,0.6477,0.0007,https://github.com/xinsongyan/talos_pal_locomotion_slmc/,997
boxes_and_arrows,NA,entire,static,FudanOCR_FudanOCR,y,packages,general,bi,dependencies,n,y,n,high,n,n,,maintainability,FudanOCR/FudanOCR,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0032,0.0158,89.8250,59.3362,0.6048,0.0014,https://github.com/FudanOCR/FudanOCR/,1125
boxes_and_arrows,NA,entire+,static,CodisLabs_codis,n,"clients, servers, network_components",deployment,uni,"data_flow, dependencies",n,y,n,high,n,n,,maintainability,CodisLabs/codis,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.8850,0.0128,88.0122,63.3782,0.7602,-0.0001,https://github.com/CodisLabs/codis/,1184
boxes_and_arrows,SOA,part,dynamic,vectranetworks_AWS-Traffic-Mirroring-Session-Manager,n,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,,functional_suitability,vectranetworks/AWS-Traffic-Mirroring-Session-Manager,rectangles,aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5236,0.0133,88.3976,57.3589,0.5972,0.0026,https://github.com/vectranetworks/AWS-Traffic-Mirroring-Session-Manager/,801
boxes_and_arrows,smart-contracts,part,static,securesecrets_shadeswap,n,"technologies, packages, classes",general,uni,inheritance,n,y,n,high,n,n,blockchain,maintainability,securesecrets/shadeswap,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.2141,0.0123,88.5390,58.2529,0.6457,-0.0032,https://github.com/securesecrets/shadeswap/,1184
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6955,0.0116,89.9088,63.8982,0.7740,0.0023,https://github.com/Spiderpig86/SmoresUnderflow/,1258
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.6955,0.0116,89.9088,63.8982,0.7740,0.0023,https://github.com/Spiderpig86/SmoresUnderflow/,841
icons_and_arrows,client-server,part,dynamic,icoxfog417_karura,y,steps,control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",icoxfog417/karura,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.7035,0.0146,89.4183,60.9850,0.7471,0.0003,https://github.com/icoxfog417/karura/,1067
icons_and_arrows,NA,entire+,dynamic,hypertrack_live-app-android,y,"steps, clients, sub-systems",control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",hypertrack/live-app-android,icons,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7069,0.0130,89.0244,61.9557,0.7436,-0.0005,https://github.com/hypertrack/live-app-android/,841
boxes,layered,entire+,static,yuwen123441_NVMeAutomation,y,sub-systems,general,bi,NA,n,y,n,high,n,n,,maintainability,yuwen123441/NVMeAutomation,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2114,0.0155,89.8256,56.9015,0.5677,0.0123,https://github.com/yuwen123441/NVMeAutomation/,863
boxes_and_arrows,layered,entire,static,little-hands_webdbpress-2019-10-ddd,n,"layers, sub-systems",general,uni,dependencies,n,y,n,high,n,n,,maintainability,little-hands/webdbpress-2019-10-ddd,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.5719,0.0187,84.2852,61.1156,0.6638,-0.0017,https://github.com/little-hands/webdbpress-2019-10-ddd/,852
