Architectural Notation,Architectural Styles,Architecture Scope,Behavior,Clean_Repo_Name,Colored?,Components Nature,Concern,Connectors Direction,Connectors Nature,Design Overlays,Explicit Connectors?,Explicit Ports/Interfaces?,Granularity,Legend?,Nested Components?,Notes,QAs,Repository Name,Shapes,Technologies,fewShot_claude_LLM_Clarity_Rating,fewShot_claude_LLM_Completeness_Rating,fewShot_claude_LLM_Consistency_Rating,fewShot_claude_PSNR,fewShot_claude_RMSE,fewShot_claude_SAM,fewShot_claude_SRE,fewShot_claude_SSIM,fewShot_claude_UIQ,repo_url,summary_token_count
UML,MVC,entire,static,OpenPSD_modelbank,n,"packages, classes, data",general,uni,inheritance,n,y,n,medium,n,y,,maintainability,OpenPSD/modelbank,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.3808,0.0135,87.5548,58.9177,0.6408,0.0008,https://github.com/OpenPSD/modelbank/,1126
boxes_and_arrows,NA,entire+,static,minism_hotel,y,"servers, containers",deployment,uni,communication,text,y,n,high,n,n,,"flexibility, performance_efficiency",minism/hotel,rectangles,unity,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,25.5117,0.0530,12.9054,35.7578,0.0801,-0.0018,https://github.com/minism/hotel/,961
boxes_and_arrows,MVC,entire,dynamic,IBM_kubernetes-storage,y,"APIs, containers","deployment, scheduling",bi,"API_calls, data_flow",n,y,n,high,y,n,,"functional_suitability, performance_efficiency",IBM/kubernetes-storage,rectangles,kubernetes,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1148,0.0124,89.7856,61.9469,0.7356,-0.0001,https://github.com/IBM/kubernetes-storage/,739
boxes_and_arrows,event-driven,entire+,"static, dynamic",tamu-datathon-org_galaxy,n,"sub-systems, DBs",general,uni,communication,n,y,n,high,n,n,,maintainability,tamu-datathon-org/galaxy,"rectangles, circles","postgresql, mongodb",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.4932,0.0133,87.7758,65.8237,0.8241,-0.0006,https://github.com/tamu-datathon-org/galaxy/,688
"icons_and_arrows, boxes","event-driven, client-server",entire,dynamic,odh-labs_predictive-maint,y,"containers, sub-systems, technologies",deployment,uni,control_flow,n,y,n,high,n,y,,functional_suitability,odh-labs/predictive-maint,"rectangles, icons","superset, tableau, red_hat, prometheus, aws",Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.9215,0.0160,88.8577,63.4478,0.7260,0.0012,https://github.com/odh-labs/predictive-maint/,1296
"boxes_and_arrows, icons_and_arrows",NA,part,dynamic,DehengYang_APRConfig,n,packages,control_flow,uni,control_flow,n,y,n,low,n,y,,functional_suitability,DehengYang/APRConfig,"rectangles, icons",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.6523,0.0185,85.1410,60.6374,0.6549,0.0004,https://github.com/DehengYang/APRConfig/,1336
icons_and_arrows,layered,entire+,static,brightzheng100_instana-handson-labs,y,"servers, containers, technologies",deployment,uni,communication,snapshots,y,n,high,n,y,,flexibility,brightzheng100/instana-handson-labs,"rectangles, icons","docker, apache, cassandra, butles, nginx, cockroachdb, kubernetes, spring",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6927,0.0146,88.7713,60.6617,0.6431,0.0001,https://github.com/brightzheng100/instana-handson-labs/,892
boxes,layered,entire,static,inIT-HF_gr-corrsounder,n,"packages, layers",general,bi,NA,n,n,n,high,n,y,,maintainability,inIT-HF/gr-corrsounder,"rectangles, squares",NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.6514,0.0233,83.7448,53.2029,0.3294,-0.0051,https://github.com/inIT-HF/gr-corrsounder/,1382
icons_and_arrows,MVC,entire+,"static, dynamic",medlab_320-online-prototype,y,sub-systems,general,bi,communication,code_snippet,y,n,medium,n,y,,flexibility,medlab/320-online-prototype,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.3458,0.0136,89.0106,55.7993,0.4871,0.0036,https://github.com/medlab/320-online-prototype/,997
boxes_and_arrows,NA,part,static,annashres_CustomerBot,n,"DBs, sub-systems",data_flow,no,data_flow,n,y,n,high,n,n,manual sketch,maintainability,annashres/CustomerBot,rectangles,microsoft,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,32.6595,0.0233,89.8024,58.6346,0.5975,-0.0001,https://github.com/annashres/CustomerBot/,967
boxes_and_arrows,client-server,entire+,dynamic,TestHaters_ctflow,y,"sub-systems, technologies",general,uni,control_flow,snapshots,y,n,high,n,n,,functional_suitability,TestHaters/ctflow,icons,cypress.io,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2205,0.0138,89.5136,62.2721,0.7466,-0.0003,https://github.com/TestHaters/ctflow/,1121
UML,"MVC, clean",entire,static,ballerina-platform_asyncapi-tools,y,"classes, interfaces, functions, layers",general,uni,inheritance,n,y,n,low,n,y,good example of low level UML architecture,maintainability,ballerina-platform/asyncapi-tools,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.2563,0.0122,89.7354,61.8185,0.6640,-0.0016,https://github.com/ballerina-platform/asyncapi-tools/,1362
boxes_and_arrows,NA,entire,static,Fenkey_irma,n,sub-systems,general,bi,communication,n,y,n,high,n,n,,maintainability,Fenkey/irma,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3529,0.0152,86.9999,56.6383,0.5396,-0.0006,https://github.com/Fenkey/irma/,1468
boxes,clean,entire,static,alexandredev3_nodejs-clean-architeture,y,layers,general,NA,NA,miniview,n,n,high,y,y,clean duplicate,maintainability,alexandredev3/nodejs-clean-architeture,circles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,33.7208,0.0206,87.9576,55.1041,0.4882,0.0007,https://github.com/alexandredev3/nodejs-clean-architeture/,1065
boxes_and_arrows,event-driven,entire,dynamic,Elkinmt19_feature-hero-ml,y,"DBs, servers, packages",general,uni,data_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Elkinmt19/feature-hero-ml,"rectangles, cylinders, icons","apache, kinesis, aws, snowflake, bigquery, redshift, synapse, google",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.1252,0.0139,88.4552,58.8778,0.5644,0.0007,https://github.com/Elkinmt19/feature-hero-ml/,897
boxes,client-server,part,static,mateuseap_apache-airflow,y,sub-systems,general,NA,NA,n,n,n,high,n,n,,maintainability,mateuseap/apache-airflow,rectangles,apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,26.4555,0.0476,88.6146,42.3464,0.2445,-0.0000,https://github.com/mateuseap/apache-airflow/,1082
icons_and_arrows,client-server,entire,static,mxaviersmp_spotify-tracker,y,"technologies, APIs",general,bi,communication,n,y,n,high,n,n,,maintainability,mxaviersmp/spotify-tracker,icons,"apache, aws, github",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.7785,0.0129,89.7812,64.0494,0.8204,0.0023,https://github.com/mxaviersmp/spotify-tracker/,1061
UML,NA,part,dynamic,quasirsg_Henry-M3,y,processes,control_flow,uni,control_flow,n,y,n,low,n,n,,functional_suitability,quasirsg/Henry-M3,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.5447,0.0133,89.6363,56.7502,0.5643,-0.0045,https://github.com/quasirsg/Henry-M3/,705
boxes_and_arrows,pipes-and-filters,part,static,qnib_qframe,y,packages,data_flow,bi,"dependencies, data_flow",n,y,n,medium,n,n,,functional_suitability,qnib/qframe,rectangles,qt,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,29.6256,0.0330,89.4460,48.4454,0.3770,0.0012,https://github.com/qnib/qframe/,1419
boxes_and_arrows,layered,entire,static,ArnBaudzus_FluxSurfer,y,sub-systems,general,uni,control_flow,text,y,n,high,n,n,,maintainability,ArnBaudzus/FluxSurfer,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,30.3358,0.0304,87.5794,53.4471,0.4493,-0.0010,https://github.com/ArnBaudzus/FluxSurfer/,1135
boxes_and_arrows,"SOA, event-driven",entire+,static,swir-rs_swir,y,"technologies, DBs, sub-systems",general,bi,"communication, dependencies",n,y,n,high,n,y,,maintainability,swir-rs/swir,rectangles,"redis, aws, apache, prometheus, nats, jaeger, swir",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,29.6743,0.0328,66.7394,52.2843,0.4300,0.0005,https://github.com/swir-rs/swir/,1034
icons_and_arrows,NA,entire+,dynamic,dspace-group_simphera-reference-architecture-azure,y,"servers, containers","deployment, connectivity",uni,"dependencies, communication",n,y,n,high,n,n,,"interaction_capability, functional_suitability",dspace-group/simphera-reference-architecture-azure,icons,"bastion, azure, nginx, postgresql, kubernetes, simphera",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.5699,0.0118,89.0273,64.3203,0.7884,-0.0002,https://github.com/dspace-group/simphera-reference-architecture-azure/,1089
UML,client-server,part,dynamic,inovex_scrumlr.io,y,"servers, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,inovex/scrumlr.io,"rectangles, ellipses",sql,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.7911,0.0129,89.1348,56.1834,0.4672,0.0073,https://github.com/inovex/scrumlr.io/,1359
icons_and_arrows,"client-server, layered",entire+,dynamic,vishipayyallore_blazorwasm-apim-api-sql-redis,y,"APIs, containers, technologies, DBs",control_flow,uni,control_flow,"text, snapshots",y,n,high,n,n,,functional_suitability,vishipayyallore/blazorwasm-apim-api-sql-redis,icons,"azure, blazor, auth0, sql",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.9300,0.0113,89.8080,61.3920,0.7509,0.0053,https://github.com/vishipayyallore/blazorwasm-apim-api-sql-redis/,1036
boxes_and_arrows,event-driven,entire,static,orchsym_runtime,y,"sub-systems, DBs",general,uni,"communication, control_flow",n,y,n,high,n,y,"Even when colors are used, the meaning of the colors is not explicit",maintainability,orchsym/runtime,"rectangles, cylinders",apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,NA,NA,NA,NA,NA,NA,https://github.com/orchsym/runtime/,1310
icons_and_arrows,event-driven,part,dynamic,castle-finance_vault-transaction-indexer,y,"DBs, functions",control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,castle-finance/vault-transaction-indexer,"icons, 3d",aws,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.9252,0.0127,89.5680,62.2637,0.7192,0.0008,https://github.com/castle-finance/vault-transaction-indexer/,997
boxes_and_arrows,"clean, hexagonal",entire+,static,hex-js_nodejs-hexagonal-boilerplate-ts,n,"sub-systems, layers",general,uni,"dependencies, communication",n,y,y,high,n,n,,maintainability,hex-js/nodejs-hexagonal-boilerplate-ts,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.1132,0.0176,86.3205,57.1204,0.5353,0.0047,https://github.com/hex-js/nodejs-hexagonal-boilerplate-ts/,1098
icons_and_arrows,client-server,entire+,static,NodleCode_n1,y,"servers, clients",deployment,bi,communication,n,y,n,high,n,n,,flexibility,NodleCode/n1,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.5092,0.0149,89.6455,57.6311,0.7028,-0.0006,https://github.com/NodleCode/n1/,1285
boxes_and_arrows,NA,entire,static,ZID-Automat_Controller-ZIDAutomat,n,"sub-systems, APIs",general,no,NA,n,y,n,high,n,n,,maintainability,ZID-Automat/Controller-ZIDAutomat,"rectangles, ellipses",NA,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,36.5964,0.0148,86.4043,57.5432,0.6875,-0.0044,https://github.com/ZID-Automat/Controller-ZIDAutomat/,985
icons_and_arrows,NA,entire,dynamic,DJMcK_aws-lake-training,y,technologies,control_flow,uni,control_flow,n,y,n,medium,n,y,,"functional_suitability, maintainability",DJMcK/aws-lake-training,icons,aws,Partially Meets Expectations,Does Not Meet Expectations,Partially Meets Expectations,38.3610,0.0121,89.4086,62.7637,0.6664,0.0015,https://github.com/DJMcK/aws-lake-training/,1287
boxes_and_arrows,NA,entire,static,nforge_devnote,y,"packages, sub-systems, technologies",general,uni,communication,n,y,n,medium,n,y,,maintainability,nforge/devnote,rectangles,javascript,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.0220,0.0141,88.8943,57.6454,0.5159,0.0032,https://github.com/nforge/devnote/,1077
boxes_and_arrows,NA,part,dynamic,opstree_OT-Microservices-Training,y,"classes, DBs, sub-systems",control_flow,uni,data_flow,n,y,n,high,n,n,"The lack of a legen makes connector nature much harder to understand (e.g., what does a dashed line stand for?)","functional_suitability, maintainability",opstree/OT-Microservices-Training,"rectangles, cylinders, icons","go, java, python, elasticsearch, mysql",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.5714,0.0132,89.9010,57.8580,0.4819,0.0009,https://github.com/opstree/OT-Microservices-Training/,1096
icons_and_arrows,client-server,part,dynamic,victorshinya_serverless-chatbot,y,"DBs, technologies, devices",control_flow,bi,control_flow,n,y,n,high,n,n,,maintainability,victorshinya/serverless-chatbot,"icons, circles",ibm,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.8087,0.0102,89.9120,62.1815,0.7877,-0.0002,https://github.com/victorshinya/serverless-chatbot/,674
icons_and_arrows,layered,part,dynamic,itselavia_edge-computing-platform-for-deep-learning-apps,y,"technologies, hardware_components",control_flow,bi,control_flow,text,y,n,high,y,y,,"functional_suitability, maintainability",itselavia/edge-computing-platform-for-deep-learning-apps,"rectangles, icons","kubernetes, react, raspberry, google, java, go, python",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4225,0.0151,89.8651,65.6342,0.7914,0.0015,https://github.com/itselavia/edge-computing-platform-for-deep-learning-apps/,1361
boxes_and_arrows,SOA,part,dynamic,danielfm_prometheus-for-developers,y,"technologies, servers, sub-systems",control_flow,uni,communication,n,y,n,medium,n,y,,"functional_suitability, maintainability",danielfm/prometheus-for-developers,"rectangles, icons, squares","prometheus, grafana, kubernetes",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8065,0.0144,88.8526,61.6563,0.6712,-0.0015,https://github.com/danielfm/prometheus-for-developers/,638
icons_and_arrows,SOA,part,dynamic,alfredcs_immersion_day_labs,y,"technologies, servers, clients",deployment,uni,control_flow,n,y,n,high,n,n,,performance_efficiency,alfredcs/immersion_day_labs,"rectangles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.2446,0.0154,89.5233,58.5383,0.5974,-0.0025,https://github.com/alfredcs/immersion_day_labs/,1014
icons_and_arrows,"client-server, publish-subscribe, SOA",entire,static,GoogleCloudPlatform_datacatalog-tag-engine,y,"clients, technologies, functions",deployment,uni,control_flow,n,y,n,high,n,n,,"flexibility, performance_efficiency",GoogleCloudPlatform/datacatalog-tag-engine,"icons, rectangles",bigquery,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,26.3513,0.0481,29.9592,47.7346,0.2309,-0.0014,https://github.com/GoogleCloudPlatform/datacatalog-tag-engine/,972
icons_and_arrows,client-server,entire+,dynamic,BoraxTheClean_DevelopmentMachine,y,"clients, servers, technologies",security,uni,control_flow,n,y,n,high,n,n,,security,BoraxTheClean/DevelopmentMachine,"icons, 3d",aws,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0253,0.0112,89.4007,62.7229,0.6781,0.0006,https://github.com/BoraxTheClean/DevelopmentMachine/,615
boxes_and_arrows,NA,part,static,lubkoKuzenko_FE-Interview-Questions,y,packages,general,uni,dependencies,n,y,n,medium,n,y,manual sketch,maintainability,lubkoKuzenko/FE-Interview-Questions,rectangles,angular,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.0138,0.0112,89.9242,58.2504,0.4721,-0.0006,https://github.com/lubkoKuzenko/FE-Interview-Questions/,994
boxes_and_arrows,NA,part,dynamic,Luizbrandt_users-crud-salesforce,y,"functions, clients, servers",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",Luizbrandt/users-crud-salesforce,rectangles,salesforce,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.1158,0.0156,88.3421,54.4850,0.3912,0.0002,https://github.com/Luizbrandt/users-crud-salesforce/,867
icons_and_arrows,event-driven,part,dynamic,becloudway_serverless-data-pipeline,y,"functions, technologies",control_flow,uni,control_flow,n,y,n,medium,n,n,,"functional_suitability, maintainability",becloudway/serverless-data-pipeline,icons,"aws, slack",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.7719,0.0129,89.7123,61.6359,0.7337,0.0007,https://github.com/becloudway/serverless-data-pipeline/,1356
"boxes_and_arrows, icons_and_arrows",NA,entire+,static,azuregomez_SecurePaaS,y,"sub-systems, DBs, servers","security, connectivity",uni,communication,n,y,y,high,n,y,good example of security view,security,azuregomez/SecurePaaS,"rectangles, icons",sql,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.8573,0.0128,89.7478,62.9822,0.7542,0.0008,https://github.com/azuregomez/securepaas/,742
icons_and_arrows,event-driven,entire+,dynamic,marekq_rss-lambda,n,"functions, clients, DBs",control_flow,uni,control_flow,n,y,n,high,n,n,,"functional_suitability, maintainability",marekq/rss-lambda,"circles, icons",aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,39.1767,0.0110,89.8918,62.3538,0.7110,0.0018,https://github.com/marekq/rss-lambda/,1157
icons_and_arrows,client-server,entire+,"static, dynamic",Software-Engineering-DHBW_bikeminer,y,"clients, servers, containers",data_flow,uni,data_flow,n,y,n,high,n,y,,"functional_suitability, maintainability",Software-Engineering-DHBW/bikeminer,"rectangles, icons, cylinders",docker,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.6902,0.0146,88.7208,62.1081,0.7443,-0.0007,https://github.com/Software-Engineering-DHBW/bikeminer/,1197
boxes,"clean, client-server",entire,static,mincloud1501_MSA_miniProject,y,"clients, servers, containers",deployment,no,dependencies,n,y,n,high,n,y,,maintainability,mincloud1501/MSA_miniProject,circles,docker,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4755,0.0150,89.9024,57.1972,0.6277,0.0009,https://github.com/mincloud1501/MSA_miniProject/,863
boxes_and_arrows,client-server,entire+,static,pgrignaffini_AlgoCrowd,n,"clients, servers, DBs",general,uni,communication,n,y,n,high,n,y,,maintainability,pgrignaffini/AlgoCrowd,rectangles,blockchain,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,38.1261,0.0124,88.4124,57.8371,0.6353,-0.0055,https://github.com/pgrignaffini/AlgoCrowd/,925
icons_and_arrows,event-driven,entire,dynamic,spagnuolocarmine_serverless-computing-for-iot,y,"devices, hardware_components, DBs, clients",data_flow,uni,data_flow,n,y,n,high,n,n,iot,"functional_suitability, maintainability",spagnuolocarmine/serverless-computing-for-iot,icons,nuclio,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,37.2031,0.0138,89.3486,59.2899,0.6905,0.0010,https://github.com/spagnuolocarmine/serverless-computing-for-iot/,816
boxes_and_arrows,NA,entire+,dynamic,aurelien-m_raspberrypi-rustpy,y,"devices, hardware_components, clients","deployment, data_flow",uni,data_flow,n,y,y,high,n,y,,maintainability,aurelien-m/raspberrypi-rustpy,"rectangles, icons","python, rust, raspberry",Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,32.6953,0.0232,89.8238,57.2756,0.6500,-0.0014,https://github.com/aurelien-m/raspberrypi-rustpy/,1502
boxes_and_arrows,event-driven,entire,static,apache_apisix-dashboard,y,"packages, servers, layers, network_components","deployment, data_flow",uni,data_flow,n,y,n,medium,n,y,,maintainability,apache/apisix-dashboard,rectangles,apache,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.2770,0.0137,89.7352,60.6044,0.6582,-0.0010,https://github.com/apache/apisix-dashboard/,1267
boxes_and_arrows,"SOA, client-server",entire,static,EMERIC237_Restaurant-reservation-app,n,"services, packages, DBs, layers","deployment, data_flow",uni,communication,n,y,n,high,n,y,,maintainability,EMERIC237/Restaurant-reservation-app,rectangles,"react, nodejs, postgresql",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,31.3408,0.0271,78.3580,51.1731,0.4347,0.0010,https://github.com/EMERIC237/Restaurant-reservation-app/,1356
UML,NA,part,dynamic,s-sokolko_smev3_adapter_service,n,"clients, packages",data_flow,bi,communication,n,y,n,high,n,n,,functional_suitability,s-sokolko/smev3_adapter_service,rectangles,mongodb,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,39.5115,0.0106,89.5804,58.2021,0.5868,0.0001,https://github.com/s-sokolko/smev3_adapter_service/,1016
icons_and_arrows,"client-server, layered",part,dynamic,UoA-eResearch_hub-stack,y,"functions, DBs, sub-systems, technologies",deployment,uni,control_flow,n,y,n,medium,n,y,,maintainability,UoA-eResearch/hub-stack,"rectangles, icons","shibboleth, sentry, google, grafana, aws, elasticsearch, kibana, contentful, python",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.8895,0.0143,89.6122,61.6960,0.7011,-0.0006,https://github.com/UoA-eResearch/hub-stack/,1447
boxes_and_arrows,NA,entire,static,rinkako_CStoreDBMS,y,"classes, layers, DBs",general,uni,"inheritance, dependencies",n,y,n,medium,n,y,,maintainability,rinkako/CStoreDBMS,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,35.4888,0.0168,86.6043,58.5767,0.6339,0.0057,https://github.com/Rinkako/CStoreDB/,1077
boxes_and_arrows,"client-server, layered",entire+,dynamic,i5ting_stuq-koa,y,"clients, servers, DBs",connectivity,uni,communication,n,y,n,high,n,n,,functional_suitability,i5ting/stuq-koa,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.0183,0.0158,88.9734,58.1227,0.6657,-0.0002,https://github.com/i5ting/stuq-koa/,825
icons_and_arrows,event-driven,entire,dynamic,victor369basu_Real-time-stock-market-prediction,n,"DBs, technologies",control_flow,uni,data_flow,n,y,n,high,n,n,,functional_suitability,victor369basu/Real-time-stock-market-prediction,icons,"mongodb, tensorflow",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.5610,0.0149,86.9862,57.2370,0.6735,-0.0006,https://github.com/victor369basu/Real-time-stock-market-prediction/,818
icons_and_arrows,SOA,entire,dynamic,IBM_logdna-cos,y,technologies,control_flow,uni,control_flow,n,y,n,high,n,n,,functional_suitability,IBM/logdna-cos,"circles, icons","ibm, nodejs, logdna",Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,39.5045,0.0106,89.9096,63.7736,0.8167,0.0007,https://github.com/IBM/logdna-cos/,697
boxes_and_arrows,NA,part,dynamic,xinsongyan_talos_pal_locomotion_slmc,y,"classes, steps",control_flow,uni,control_flow,n,y,n,medium,n,y,"even if colors are used (for connectors or different elements), what the colors does  never seem to be specified",functional_suitability,xinsongyan/talos_pal_locomotion_slmc,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.3788,0.0152,89.8414,59.5855,0.7153,0.0027,https://github.com/xinsongyan/talos_pal_locomotion_slmc/,997
boxes_and_arrows,NA,entire,static,FudanOCR_FudanOCR,y,packages,general,bi,dependencies,n,y,n,high,n,n,,maintainability,FudanOCR/FudanOCR,rectangles,NA,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,35.4626,0.0169,89.8154,58.9597,0.6646,-0.0001,https://github.com/FudanOCR/FudanOCR/,1125
boxes_and_arrows,NA,entire+,static,CodisLabs_codis,n,"clients, servers, network_components",deployment,uni,"data_flow, dependencies",n,y,n,high,n,n,,maintainability,CodisLabs/codis,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.5680,0.0132,88.0156,63.2495,0.7840,0.0005,https://github.com/CodisLabs/codis/,1184
boxes_and_arrows,SOA,part,dynamic,vectranetworks_AWS-Traffic-Mirroring-Session-Manager,n,steps,control_flow,uni,control_flow,n,y,n,medium,n,n,,functional_suitability,vectranetworks/AWS-Traffic-Mirroring-Session-Manager,rectangles,aws,Does Not Meet Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.9317,0.0127,88.4248,57.5954,0.6883,0.0050,https://github.com/vectranetworks/AWS-Traffic-Mirroring-Session-Manager/,801
boxes_and_arrows,smart-contracts,part,static,securesecrets_shadeswap,n,"technologies, packages, classes",general,uni,inheritance,n,y,n,high,n,n,blockchain,maintainability,securesecrets/shadeswap,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,38.3822,0.0120,88.5436,58.3405,0.6072,-0.0012,https://github.com/securesecrets/shadeswap/,1184
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4874,0.0150,89.9243,63.0221,0.7865,0.0012,https://github.com/Spiderpig86/SmoresUnderflow/,1258
icons_and_arrows,"microservices, client-server",entire,dynamic,Spiderpig86_SmoresUnderflow,y,"technologies, services, DBs, clients",deployment,uni,data_flow,n,y,n,medium,n,n,,"functional_suitability, performance_efficiency",Spiderpig86/SmoresUnderflow,icons,"kibana, elasticsearch, mongodb, redis",Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,36.4874,0.0150,89.9243,63.0221,0.7865,0.0012,https://github.com/Spiderpig86/SmoresUnderflow/,841
icons_and_arrows,client-server,part,dynamic,icoxfog417_karura,y,steps,control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",icoxfog417/karura,icons,NA,Partially Meets Expectations,Partially Meets Expectations,Partially Meets Expectations,36.7280,0.0146,89.4361,60.9977,0.7257,0.0002,https://github.com/icoxfog417/karura/,1067
icons_and_arrows,NA,entire+,dynamic,hypertrack_live-app-android,y,"steps, clients, sub-systems",control_flow,uni,control_flow,snapshots,y,n,high,n,n,,"functional_suitability, performance_efficiency",hypertrack/live-app-android,icons,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,37.0779,0.0140,88.9962,61.6341,0.7096,-0.0002,https://github.com/hypertrack/live-app-android/,841
boxes,layered,entire+,static,yuwen123441_NVMeAutomation,y,sub-systems,general,bi,NA,n,y,n,high,n,n,,maintainability,yuwen123441/NVMeAutomation,rectangles,NA,Partially Meets Expectations,Partially Meets Expectations,Does Not Meet Expectations,37.4184,0.0135,89.9095,57.5656,0.6521,-0.0016,https://github.com/yuwen123441/NVMeAutomation/,863
boxes_and_arrows,layered,entire,static,little-hands_webdbpress-2019-10-ddd,n,"layers, sub-systems",general,uni,dependencies,n,y,n,high,n,n,,maintainability,little-hands/webdbpress-2019-10-ddd,rectangles,NA,Partially Meets Expectations,Does Not Meet Expectations,Does Not Meet Expectations,34.9840,0.0178,84.3308,61.3215,0.7125,-0.0036,https://github.com/little-hands/webdbpress-2019-10-ddd/,852
